# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =1
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	exp01	exp10
N1	-1	0	0	0
N2	0.11894	0.11894	0	0
N3	3.10649e-05	0.118971	0	1
N4	0.0965376	0.215509	3	2
N5	0.000160037	0.215669	8	0
N6	0.000108261	0.215777	1	1
N7	7.35317e-08	0.215777	1	1
N8	0.102047	0.317824	7	0
N9	0.0861094	0.403934	2	4
N10	0.0936848	0.497618	1	3
N11	0.0148441	0.512463	9	0
N12	0.0506645	0.563127	14	1
N13	0.00276517	0.565892	2	0
N14	3.56173e-11	0.565892	0	0
Escherichia_coli_EDL933	9.80141e-12	0.565892	0	0
Escherichia_coli_O157_H7	9.80141e-12	0.565892	0	0
Escherichia_coli_K12	0.0177112	0.583603	2	0
Salmonella_typhimurium	0.0460679	0.609195	2	1
Yersinia_pestis	0.230112	0.742574	2	1
N15	0.881112	1.37873	2	11
Pasteurella_multocida	1.88174e-11	1.37873	0	0
Haemophilus_influenzae	0.06651	1.44524	1	3
Vibrio_cholerae	0.274133	0.678067	7	1
Pseudomonas_aeruginosa	7.5688e-08	0.317824	16	0
Xylella_fastidiosa_9a5c	0.510244	0.726021	3	5
N16	4.4362e-05	0.215822	1	0
N17	1.12437	1.34019	2	14
Neisseria_meningitidis_B	0.00103917	1.34123	0	0
Neisseria_meningitidis_A	0.0143069	1.3545	1	0
Ralstonia_solanacearum	0.167059	0.38288	16	3
N18	0.0870877	0.302757	6	0
N19	0.0447181	0.347475	4	1
N20	0.0952091	0.442684	3	0
Agrobacterium_tumefaciens_Cereon	0.117176	0.55986	6	1
Sinorhizobium_meliloti	0.0354591	0.478143	5	0
N21	9.39825e-06	0.347484	1	0
Brucella_melitensis	0.346635	0.694119	4	7
Mesorhizobium_loti	0.0364666	0.383951	14	1
Caulobacter_vibrioides	0.184247	0.487003	8	2
N22	1.46043	1.67594	1	8
N23	0.846713	2.52265	5	8
Helicobacter_pylori_J99	2.69713e-11	2.52265	0	0
Helicobacter_pylori_26695	2.70294e-11	2.52265	0	0
Campylobacter_jejuni	4.89779e-06	1.67594	3	0
N24	0.0210797	0.140051	0	1
N25	1.6468	1.78685	0	9
Fusobacterium_nucleatum	1.44466	3.23151	12	3
N26	0.128784	1.91563	3	1
Aquifex_aeolicus	2.83792	4.75356	8	5
Thermotoga_maritima	0.306652	2.22229	13	0
N27	0.0529932	0.193044	8	0
Deinococcus_radiodurans	0.391366	0.58441	11	2
N28	0.203587	0.396631	9	1
Nostoc_sp__PCC_7120	8.13206e-08	0.396631	6	0
Synechocystis_sp__PCC6803	0.203382	0.600013	4	4
N29	0.0804757	0.199416	13	1
Corynebacterium_glutamicum	0.358159	0.557575	6	4
N30	0.0824632	0.281879	14	1
Mycobacterium_tuberculosis_CDC1551	0.00986089	0.29174	0	0
Mycobacterium_tuberculosis_H37Rv	2.43528e-11	0.281879	1	0
N31	0.341813	0.341813	6	0
Clostridium_acetobutylicum	0.174007	0.51582	10	1
N32	0.144848	0.48666	3	4
N33	2.24534e-08	0.48666	3	0
N34	5.88616e-12	0.48666	4	0
Listeria_innocua	0.24297	0.72963	3	3
N35	0.128449	0.61511	9	3
Bacillus_halodurans	0.123269	0.738379	5	0
Bacillus_subtilis	0.0152812	0.630391	7	0
Staphylococcus_aureus_N315	0.143698	0.630359	10	1
N36	0.675016	1.16168	0	8
N37	9.3776e-10	1.16168	0	0
Streptococcus_pyogenes_M1	0.0928074	1.25448	0	3
Streptococcus_pneumoniae_TIGR4	0.0939235	1.2556	6	0
Lactococcus_lactis	0.11393	1.27561	3	2
