	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000035651_Torulaspora_microellipsoides@Seq_1	299_0	OG3959	Saccharomyces_cerevisiae@YPR163C	genemark-flattened_line_46-processed-gene-0.69-mRNA-1_1 gene=genemark-flattened_line_46-processed-gene-0.69 CDS=1-1317	gene=genemark-flattened_line_46-processed-gene-0.69 CDS=1-1317	yHMPu5000035651_Torulaspora_microellipsoides
1	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2	299_1	OG1103	Saccharomyces_cerevisiae@YMR170C	genemark-flattened_line_38-processed-gene-0.166-mRNA-1_1 gene=genemark-flattened_line_38-processed-gene-0.166 CDS=1-1518	gene=genemark-flattened_line_38-processed-gene-0.166 CDS=1-1518	yHMPu5000035651_Torulaspora_microellipsoides
2	yHMPu5000035651_Torulaspora_microellipsoides@Seq_3	299_2	OG6237	Saccharomyces_cerevisiae@YKL109W	snap_masked-flattened_line_17-processed-gene-1.93-mRNA-1_1 gene=snap_masked-flattened_line_17-processed-gene-1.93 CDS=1-1122	gene=snap_masked-flattened_line_17-processed-gene-1.93 CDS=1-1122	yHMPu5000035651_Torulaspora_microellipsoides
3	yHMPu5000035651_Torulaspora_microellipsoides@Seq_4	299_3	OG3717	Saccharomyces_cerevisiae@YNL107W	genemark-flattened_line_33-processed-gene-1.15-mRNA-1_1 gene=genemark-flattened_line_33-processed-gene-1.15 CDS=1-627	gene=genemark-flattened_line_33-processed-gene-1.15 CDS=1-627	yHMPu5000035651_Torulaspora_microellipsoides
4	yHMPu5000035651_Torulaspora_microellipsoides@Seq_5	299_4	OG2149	Saccharomyces_cerevisiae@YFL055W	snap_masked-flattened_line_21-processed-gene-1.50-mRNA-1_1 gene=snap_masked-flattened_line_21-processed-gene-1.50 CDS=1-1617	gene=snap_masked-flattened_line_21-processed-gene-1.50 CDS=1-1617	yHMPu5000035651_Torulaspora_microellipsoides
5	yHMPu5000035651_Torulaspora_microellipsoides@Seq_6	299_5	OG2817	Saccharomyces_cerevisiae@YMR115W	augustus_masked-flattened_line_17-processed-gene-1.5-mRNA-1_1 gene=augustus_masked-flattened_line_17-processed-gene-1.5 CDS=1-1416	gene=augustus_masked-flattened_line_17-processed-gene-1.5 CDS=1-1416	yHMPu5000035651_Torulaspora_microellipsoides
6	yHMPu5000035651_Torulaspora_microellipsoides@Seq_7	299_6	OG1558	Saccharomyces_cerevisiae@YBR287W	genemark-flattened_line_25-processed-gene-1.131-mRNA-1_1 gene=genemark-flattened_line_25-processed-gene-1.131 CDS=1-1254	gene=genemark-flattened_line_25-processed-gene-1.131 CDS=1-1254	yHMPu5000035651_Torulaspora_microellipsoides
7	yHMPu5000035651_Torulaspora_microellipsoides@Seq_8	299_7	OG66781	yHMPu5000035651_Torulaspora_microellipsoides@Seq_8	snap_masked-flattened_line_11-processed-gene-4.182-mRNA-1_1 gene=snap_masked-flattened_line_11-processed-gene-4.182 CDS=1-711	gene=snap_masked-flattened_line_11-processed-gene-4.182 CDS=1-711	yHMPu5000035651_Torulaspora_microellipsoides
8	yHMPu5000035651_Torulaspora_microellipsoides@Seq_9	299_8	OG2811	Saccharomyces_cerevisiae@YPR097W	genemark-flattened_line_27-processed-gene-1.27-mRNA-1_1 gene=genemark-flattened_line_27-processed-gene-1.27 CDS=1-3045	gene=genemark-flattened_line_27-processed-gene-1.27 CDS=1-3045	yHMPu5000035651_Torulaspora_microellipsoides
9	yHMPu5000035651_Torulaspora_microellipsoides@Seq_10	299_9	OG4745	Saccharomyces_cerevisiae@YOR389W	genemark-flattened_line_7-processed-gene-4.329-mRNA-1_1 gene=genemark-flattened_line_7-processed-gene-4.329 CDS=1-1872	gene=genemark-flattened_line_7-processed-gene-4.329 CDS=1-1872	yHMPu5000035651_Torulaspora_microellipsoides
10	yHMPu5000035651_Torulaspora_microellipsoides@Seq_11	299_10	OG1032	Saccharomyces_cerevisiae@YJL130C	snap_masked-flattened_line_46-processed-gene-0.83-mRNA-1_1 gene=snap_masked-flattened_line_46-processed-gene-0.83 CDS=1-6669	gene=snap_masked-flattened_line_46-processed-gene-0.83 CDS=1-6669	yHMPu5000035651_Torulaspora_microellipsoides
11	yHMPu5000035651_Torulaspora_microellipsoides@Seq_12	299_11	OG6942	Saccharomyces_cerevisiae@YMR117C	augustus_masked-flattened_line_17-processed-gene-0.118-mRNA-1_1 gene=augustus_masked-flattened_line_17-processed-gene-0.118 CDS=1-645	gene=augustus_masked-flattened_line_17-processed-gene-0.118 CDS=1-645	yHMPu5000035651_Torulaspora_microellipsoides
12	yHMPu5000035651_Torulaspora_microellipsoides@Seq_13	299_12	OG3485	Saccharomyces_cerevisiae@YIL068C	genemark-flattened_line_27-processed-gene-1.12-mRNA-1_1 gene=genemark-flattened_line_27-processed-gene-1.12 CDS=1-2403	gene=genemark-flattened_line_27-processed-gene-1.12 CDS=1-2403	yHMPu5000035651_Torulaspora_microellipsoides
13	yHMPu5000035651_Torulaspora_microellipsoides@Seq_14	299_13	OG4651	Saccharomyces_cerevisiae@YJR086W	genemark-flattened_line_1-processed-gene-2.56-mRNA-1_1 gene=genemark-flattened_line_1-processed-gene-2.56 CDS=1-315	gene=genemark-flattened_line_1-processed-gene-2.56 CDS=1-315	yHMPu5000035651_Torulaspora_microellipsoides
14	yHMPu5000035651_Torulaspora_microellipsoides@Seq_15	299_14	OG2404	Saccharomyces_cerevisiae@YDL226C	genemark-flattened_line_13-processed-gene-4.141-mRNA-1_1 gene=genemark-flattened_line_13-processed-gene-4.141 CDS=1-1089	gene=genemark-flattened_line_13-processed-gene-4.141 CDS=1-1089	yHMPu5000035651_Torulaspora_microellipsoides
15	yHMPu5000035651_Torulaspora_microellipsoides@Seq_16	299_15	OG2110	Saccharomyces_cerevisiae@YKL189W	augustus_masked-flattened_line_3-processed-gene-5.21-mRNA-1_1 gene=augustus_masked-flattened_line_3-processed-gene-5.21 CDS=1-2331	gene=augustus_masked-flattened_line_3-processed-gene-5.21 CDS=1-2331	yHMPu5000035651_Torulaspora_microellipsoides
16	yHMPu5000035651_Torulaspora_microellipsoides@Seq_17	299_16	OG2347	Saccharomyces_cerevisiae@YFL045C	genemark-flattened_line_62-processed-gene-0.71-mRNA-1_1 gene=genemark-flattened_line_62-processed-gene-0.71 CDS=1-762	gene=genemark-flattened_line_62-processed-gene-0.71 CDS=1-762	yHMPu5000035651_Torulaspora_microellipsoides
17	yHMPu5000035651_Torulaspora_microellipsoides@Seq_18	299_17	OG1390	Saccharomyces_cerevisiae@YML082W	genemark-flattened_line_35-processed-gene-0.80-mRNA-1_1 gene=genemark-flattened_line_35-processed-gene-0.80 CDS=1-1725	gene=genemark-flattened_line_35-processed-gene-0.80 CDS=1-1725	yHMPu5000035651_Torulaspora_microellipsoides
18	yHMPu5000035651_Torulaspora_microellipsoides@Seq_19	299_18	OG4400	Saccharomyces_cerevisiae@YOR111W	genemark-flattened_line_33-processed-gene-1.43-mRNA-1_1 gene=genemark-flattened_line_33-processed-gene-1.43 CDS=1-681	gene=genemark-flattened_line_33-processed-gene-1.43 CDS=1-681	yHMPu5000035651_Torulaspora_microellipsoides
19	yHMPu5000035651_Torulaspora_microellipsoides@Seq_20	299_19	OG1941	Saccharomyces_cerevisiae@YER148W	genemark-flattened_line_50-processed-gene-0.97-mRNA-1_1 gene=genemark-flattened_line_50-processed-gene-0.97 CDS=1-717	gene=genemark-flattened_line_50-processed-gene-0.97 CDS=1-717	yHMPu5000035651_Torulaspora_microellipsoides
20	yHMPu5000035651_Torulaspora_microellipsoides@Seq_21	299_20	OG14049	Zygosaccharomyces_rouxii@Seq_3148	snap_masked-flattened_line_7-processed-gene-4.182-mRNA-1_1 gene=snap_masked-flattened_line_7-processed-gene-4.182 CDS=1-231	gene=snap_masked-flattened_line_7-processed-gene-4.182 CDS=1-231	yHMPu5000035651_Torulaspora_microellipsoides
21	yHMPu5000035651_Torulaspora_microellipsoides@Seq_22	299_21	OG4016	Saccharomyces_cerevisiae@YGR155W	genemark-flattened_line_0-processed-gene-8.25-mRNA-1_1 gene=genemark-flattened_line_0-processed-gene-8.25 CDS=1-1497	gene=genemark-flattened_line_0-processed-gene-8.25 CDS=1-1497	yHMPu5000035651_Torulaspora_microellipsoides
22	yHMPu5000035651_Torulaspora_microellipsoides@Seq_23	299_22	OG58845	yHMPu5000035651_Torulaspora_microellipsoides@Seq_4477	snap_masked-flattened_line_0-processed-gene-5.117-mRNA-1_1 gene=snap_masked-flattened_line_0-processed-gene-5.117 CDS=1-198	gene=snap_masked-flattened_line_0-processed-gene-5.117 CDS=1-198	yHMPu5000035651_Torulaspora_microellipsoides
23	yHMPu5000035651_Torulaspora_microellipsoides@Seq_24	299_23	OG1645	Saccharomyces_cerevisiae@YBR112C	genemark-flattened_line_13-processed-gene-2.155-mRNA-1_1 gene=genemark-flattened_line_13-processed-gene-2.155 CDS=1-3003	gene=genemark-flattened_line_13-processed-gene-2.155 CDS=1-3003	yHMPu5000035651_Torulaspora_microellipsoides
24	yHMPu5000035651_Torulaspora_microellipsoides@Seq_25	299_24	OG4194	Saccharomyces_cerevisiae@YOL018C	snap_masked-flattened_line_15-processed-gene-0.119-mRNA-1_1 gene=snap_masked-flattened_line_15-processed-gene-0.119 CDS=1-1062	gene=snap_masked-flattened_line_15-processed-gene-0.119 CDS=1-1062	yHMPu5000035651_Torulaspora_microellipsoides
25	yHMPu5000035651_Torulaspora_microellipsoides@Seq_26	299_25	OG3496	Saccharomyces_cerevisiae@YLR312W-A	genemark-flattened_line_64-processed-gene-0.42-mRNA-1_1 gene=genemark-flattened_line_64-processed-gene-0.42 CDS=1-732	gene=genemark-flattened_line_64-processed-gene-0.42 CDS=1-732	yHMPu5000035651_Torulaspora_microellipsoides
26	yHMPu5000035651_Torulaspora_microellipsoides@Seq_27	299_26	OG2544	Saccharomyces_cerevisiae@YLR330W	genemark-flattened_line_0-processed-gene-7.56-mRNA-1_1 gene=genemark-flattened_line_0-processed-gene-7.56 CDS=1-1968	gene=genemark-flattened_line_0-processed-gene-7.56 CDS=1-1968	yHMPu5000035651_Torulaspora_microellipsoides
27	yHMPu5000035651_Torulaspora_microellipsoides@Seq_28	299_27	OG1278	Saccharomyces_cerevisiae@YIR006C	genemark-flattened_line_31-processed-gene-0.92-mRNA-1_1 gene=genemark-flattened_line_31-processed-gene-0.92 CDS=1-4293	gene=genemark-flattened_line_31-processed-gene-0.92 CDS=1-4293	yHMPu5000035651_Torulaspora_microellipsoides
28	yHMPu5000035651_Torulaspora_microellipsoides@Seq_29	299_28	OG3236	Saccharomyces_cerevisiae@YJR142W	genemark-flattened_line_52-processed-gene-0.12-mRNA-1_1 gene=genemark-flattened_line_52-processed-gene-0.12 CDS=1-1029	gene=genemark-flattened_line_52-processed-gene-0.12 CDS=1-1029	yHMPu5000035651_Torulaspora_microellipsoides
29	yHMPu5000035651_Torulaspora_microellipsoides@Seq_30	299_29	OG2353	Saccharomyces_cerevisiae@YMR202W	genemark-flattened_line_5-processed-gene-5.96-mRNA-1_1 gene=genemark-flattened_line_5-processed-gene-5.96 CDS=1-666	gene=genemark-flattened_line_5-processed-gene-5.96 CDS=1-666	yHMPu5000035651_Torulaspora_microellipsoides
30	yHMPu5000035651_Torulaspora_microellipsoides@Seq_31	299_30	OG2614	Saccharomyces_cerevisiae@YIL093C	genemark-flattened_line_13-processed-gene-0.108-mRNA-1_1 gene=genemark-flattened_line_13-processed-gene-0.108 CDS=1-786	gene=genemark-flattened_line_13-processed-gene-0.108 CDS=1-786	yHMPu5000035651_Torulaspora_microellipsoides
31	yHMPu5000035651_Torulaspora_microellipsoides@Seq_32	299_31	OG4446	Saccharomyces_cerevisiae@YPL164C	genemark-flattened_line_5-processed-gene-4.20-mRNA-1_1 gene=genemark-flattened_line_5-processed-gene-4.20 CDS=1-2271	gene=genemark-flattened_line_5-processed-gene-4.20 CDS=1-2271	yHMPu5000035651_Torulaspora_microellipsoides
32	yHMPu5000035651_Torulaspora_microellipsoides@Seq_33	299_32	OG3654	Saccharomyces_cerevisiae@YJR124C	genemark-flattened_line_46-processed-gene-0.65-mRNA-1_1 gene=genemark-flattened_line_46-processed-gene-0.65 CDS=1-1326	gene=genemark-flattened_line_46-processed-gene-0.65 CDS=1-1326	yHMPu5000035651_Torulaspora_microellipsoides
33	yHMPu5000035651_Torulaspora_microellipsoides@Seq_34	299_33	OG7764	Saccharomyces_cerevisiae@YPL144W	augustus_masked-flattened_line_5-processed-gene-3.52-mRNA-1_1 gene=augustus_masked-flattened_line_5-processed-gene-3.52 CDS=1-411	gene=augustus_masked-flattened_line_5-processed-gene-3.52 CDS=1-411	yHMPu5000035651_Torulaspora_microellipsoides
