	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000035335_Candida_blattae@Seq_1	290_0	OG4315	Saccharomyces_cerevisiae@YDR183W	augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-10.81-mRNA-1_1 gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-10.81 CDS=1-648	gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-10.81 CDS=1-648	yHMPu5000035335_Candida_blattae
1	yHMPu5000035335_Candida_blattae@Seq_2	290_1	OG123595	yHMPu5000035335_Candida_blattae@Seq_2	snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-11.3-mRNA-1_1 gene=snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-11.3 CDS=1-372	gene=snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-11.3 CDS=1-372	yHMPu5000035335_Candida_blattae
2	yHMPu5000035335_Candida_blattae@Seq_3	290_2	OG2610	Saccharomyces_cerevisiae@YJR036C	augustus_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-3.53-mRNA-1_1 gene=augustus_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-3.53 CDS=1-2637	gene=augustus_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-3.53 CDS=1-2637	yHMPu5000035335_Candida_blattae
3	yHMPu5000035335_Candida_blattae@Seq_4	290_3	OG2384	Saccharomyces_cerevisiae@YJR105W	augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-1.38-mRNA-1_1 gene=augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-1.38 CDS=1-1035	gene=augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-1.38 CDS=1-1035	yHMPu5000035335_Candida_blattae
4	yHMPu5000035335_Candida_blattae@Seq_5	290_4	OG3087	Saccharomyces_cerevisiae@YIL004C	snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-6.93-mRNA-1_1 gene=snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-6.93 CDS=1-441	gene=snap_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-6.93 CDS=1-441	yHMPu5000035335_Candida_blattae
5	yHMPu5000035335_Candida_blattae@Seq_6	290_5	OG2593	Saccharomyces_cerevisiae@YJL168C	augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-1.13-mRNA-1_1 gene=augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-1.13 CDS=1-2136	gene=augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-1.13 CDS=1-2136	yHMPu5000035335_Candida_blattae
6	yHMPu5000035335_Candida_blattae@Seq_7	290_6	OG5650	Candida_orthopsilosis@Seq_2440	augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-2.70-mRNA-1_1 gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-2.70 CDS=1-1053	gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-2.70 CDS=1-1053	yHMPu5000035335_Candida_blattae
7	yHMPu5000035335_Candida_blattae@Seq_8	290_7	OG8761	yHMPu5000035252_Yamadazyma_nakazawae@Seq_753	snap_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-5.63-mRNA-1_1 gene=snap_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-5.63 CDS=1-510	gene=snap_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-5.63 CDS=1-510	yHMPu5000035335_Candida_blattae
8	yHMPu5000035335_Candida_blattae@Seq_9	290_8	OG6152	Meyerozyma_guilliermondii@Seq_3284	augustus_masked-NODE_5_length_718965_cov_37.0908_ID_2110-processed-gene-3.57-mRNA-1_1 gene=augustus_masked-NODE_5_length_718965_cov_37.0908_ID_2110-processed-gene-3.57 CDS=1-1788	gene=augustus_masked-NODE_5_length_718965_cov_37.0908_ID_2110-processed-gene-3.57 CDS=1-1788	yHMPu5000035335_Candida_blattae
9	yHMPu5000035335_Candida_blattae@Seq_10	290_9	OG2500	Saccharomyces_cerevisiae@YDR460W	augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-2.85-mRNA-1_1 gene=augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-2.85 CDS=1-996	gene=augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-2.85 CDS=1-996	yHMPu5000035335_Candida_blattae
