	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000035325_Cyberlindnera_petersonii@Seq_1	289_0	OG2133	Saccharomyces_cerevisiae@YDL149W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.64-mRNA-1_1 gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.64 CDS=1-2520	gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-1.64 CDS=1-2520	yHMPu5000035325_Cyberlindnera_petersonii
1	yHMPu5000035325_Cyberlindnera_petersonii@Seq_2	289_1	OG1833	Saccharomyces_cerevisiae@YBR179C	genemark-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.181-mRNA-1_1 gene=genemark-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.181 CDS=1-2541	gene=genemark-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-4.181 CDS=1-2541	yHMPu5000035325_Cyberlindnera_petersonii
2	yHMPu5000035325_Cyberlindnera_petersonii@Seq_3	289_2	OG2375	Saccharomyces_cerevisiae@YNL329C	augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.176-mRNA-1_1 gene=augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.176 CDS=1-3090	gene=augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.176 CDS=1-3090	yHMPu5000035325_Cyberlindnera_petersonii
3	yHMPu5000035325_Cyberlindnera_petersonii@Seq_4	289_3	OG1307	Saccharomyces_cerevisiae@YBR238C	augustus_masked-NODE_240_length_348_cov_1.03072_ID_35089-processed-gene-0.1-mRNA-1_1 gene=augustus_masked-NODE_240_length_348_cov_1.03072_ID_35089-processed-gene-0.1 CDS=1-279	gene=augustus_masked-NODE_240_length_348_cov_1.03072_ID_35089-processed-gene-0.1 CDS=1-279	yHMPu5000035325_Cyberlindnera_petersonii
4	yHMPu5000035325_Cyberlindnera_petersonii@Seq_5	289_4	OG161817	yHMPu5000035325_Cyberlindnera_petersonii@Seq_5	snap_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-2.160-mRNA-1_1 gene=snap_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-2.160 CDS=1-294	gene=snap_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-2.160 CDS=1-294	yHMPu5000035325_Cyberlindnera_petersonii
5	yHMPu5000035325_Cyberlindnera_petersonii@Seq_6	289_5	OG3957	Saccharomyces_cerevisiae@YKR099W	augustus_masked-NODE_16_length_210287_cov_17.7656_ID_23699-processed-gene-0.25-mRNA-1_1 gene=augustus_masked-NODE_16_length_210287_cov_17.7656_ID_23699-processed-gene-0.25 CDS=1-1893	gene=augustus_masked-NODE_16_length_210287_cov_17.7656_ID_23699-processed-gene-0.25 CDS=1-1893	yHMPu5000035325_Cyberlindnera_petersonii
6	yHMPu5000035325_Cyberlindnera_petersonii@Seq_7	289_6	OG2430	Saccharomyces_cerevisiae@YDR299W	augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.84-mRNA-1_1 gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.84 CDS=1-1515	gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.84 CDS=1-1515	yHMPu5000035325_Cyberlindnera_petersonii
7	yHMPu5000035325_Cyberlindnera_petersonii@Seq_8	289_7	OG2424	Saccharomyces_cerevisiae@YOL124C	augustus_masked-NODE_20_length_193200_cov_17.5901_ID_27403-processed-gene-0.0-mRNA-1_1 gene=augustus_masked-NODE_20_length_193200_cov_17.5901_ID_27403-processed-gene-0.0 CDS=1-1323	gene=augustus_masked-NODE_20_length_193200_cov_17.5901_ID_27403-processed-gene-0.0 CDS=1-1323	yHMPu5000035325_Cyberlindnera_petersonii
8	yHMPu5000035325_Cyberlindnera_petersonii@Seq_9	289_8	OG8948	Cyberlindnera_jadinii@Seq_1550	augustus_masked-NODE_5_length_397984_cov_19.4042_ID_26889-processed-gene-2.38-mRNA-1_1 gene=augustus_masked-NODE_5_length_397984_cov_19.4042_ID_26889-processed-gene-2.38 CDS=1-2037	gene=augustus_masked-NODE_5_length_397984_cov_19.4042_ID_26889-processed-gene-2.38 CDS=1-2037	yHMPu5000035325_Cyberlindnera_petersonii
9	yHMPu5000035325_Cyberlindnera_petersonii@Seq_10	289_9	OG4200	Saccharomyces_cerevisiae@YOR158W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.143-mRNA-1_1 gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.143 CDS=1-852	gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.143 CDS=1-852	yHMPu5000035325_Cyberlindnera_petersonii
10	yHMPu5000035325_Cyberlindnera_petersonii@Seq_11	289_10	OG11199	Cyberlindnera_fabianii_JCM3601@Seq_4191	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-1.47-mRNA-1_1 gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-1.47 CDS=1-774	gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-1.47 CDS=1-774	yHMPu5000035325_Cyberlindnera_petersonii
11	yHMPu5000035325_Cyberlindnera_petersonii@Seq_12	289_11	OG3780	Saccharomyces_cerevisiae@YOR061W	augustus_masked-NODE_16_length_210287_cov_17.7656_ID_23699-processed-gene-0.41-mRNA-1_1 gene=augustus_masked-NODE_16_length_210287_cov_17.7656_ID_23699-processed-gene-0.41 CDS=1-1035	gene=augustus_masked-NODE_16_length_210287_cov_17.7656_ID_23699-processed-gene-0.41 CDS=1-1035	yHMPu5000035325_Cyberlindnera_petersonii
12	yHMPu5000035325_Cyberlindnera_petersonii@Seq_13	289_12	OG6549	yHMPu5000035261_Candida_ponderosae@Seq_7002	augustus_masked-NODE_80_length_20080_cov_19.5611_ID_26218-processed-gene-0.11-mRNA-1_1 gene=augustus_masked-NODE_80_length_20080_cov_19.5611_ID_26218-processed-gene-0.11 CDS=1-2037	gene=augustus_masked-NODE_80_length_20080_cov_19.5611_ID_26218-processed-gene-0.11 CDS=1-2037	yHMPu5000035325_Cyberlindnera_petersonii
