	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026274_Komagataella_populi
0	OG0000000	YDL138W, YDL194W, YDR536W, YFL040W	augustus_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-0.38&CDS=1-2433, augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.109&CDS=1-1527, snap_masked-NODE_11_length_163730_cov_12.9314_ID_21-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_11_length_163730_cov_12.9314_ID_21-processed-gene-0.33&CDS=1-1620, snap_masked-NODE_14_length_103125_cov_17.5621_ID_27-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_14_length_103125_cov_17.5621_ID_27-processed-gene-0.23&CDS=1-1575, snap_masked-NODE_18_length_35091_cov_18.3315_ID_35-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_18_length_35091_cov_18.3315_ID_35-processed-gene-0.17&CDS=1-1644, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-2.3&CDS=1-2244, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-2.30-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-2.30&CDS=1-1536, snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-0.32&CDS=1-1620, snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-1.36&CDS=1-1701
1	OG0000001	YCL024W, YDR477W, YDR507C, YKL101W, YPL150W	augustus_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.267-mRNA-1_1&gene=augustus_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-6.267&CDS=1-1641, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-10.144-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-10.144&CDS=1-2514, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.154-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-6.154&CDS=1-3504, snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-3.59-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-3.59&CDS=1-3648
2	OG0000002	YER023W, YKL220C, YLL051C, YNR060W, YOR381W	genemark-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-0.149-mRNA-1_1&gene=genemark-NODE_8_length_248146_cov_13.4199_ID_15-processed-gene-0.149&CDS=1-2304, maker-NODE_1_length_2210088_cov_13.6287_ID_1-snap-gene-9.7-mRNA-1_1&gene=maker-NODE_1_length_2210088_cov_13.6287_ID_1-snap-gene-9.7&CDS=1-2949, snap_masked-NODE_14_length_103125_cov_17.5621_ID_27-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_14_length_103125_cov_17.5621_ID_27-processed-gene-0.18&CDS=1-2148, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-2.125-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-2.125&CDS=1-2130
3	OG0000003	YAL005C, YJL034W, YLL024C, YNL209W	snap_masked-NODE_10_length_178938_cov_14.5517_ID_19-processed-gene-0.213-mRNA-1_1&gene=snap_masked-NODE_10_length_178938_cov_14.5517_ID_19-processed-gene-0.213&CDS=1-2031, snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-8.122-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-8.122&CDS=1-1839, snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-3.27&CDS=1-1953, snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-1.69&CDS=1-1947
4	OG0000004	YBL017C, YIL107C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-5.31&CDS=1-6492, snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-9.17-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-9.17&CDS=1-4494, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-1.153&CDS=1-2373
5	OG0000005	YDR011W, YNR070W, YOR153W, YPL058C	snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.29&CDS=1-4512, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-9.12-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-9.12&CDS=1-4398, snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-9.140-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-9.140&CDS=1-4446, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-5.43&CDS=1-4545
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	maker-NODE_1_length_2210088_cov_13.6287_ID_1-augustus-gene-18.184-mRNA-1_1&gene=maker-NODE_1_length_2210088_cov_13.6287_ID_1-augustus-gene-18.184&CDS=1-3576, snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-20.17-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-20.17&CDS=1-3003, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-4.124&CDS=1-2667, snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-2.158-mRNA-1_1&gene=snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-2.158&CDS=1-2259
7	OG0000007	YDL037C, YIR019C	augustus_masked-NODE_25_length_5614_cov_12.2025_ID_49-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_25_length_5614_cov_12.2025_ID_49-processed-gene-0.1&CDS=1-1023, augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-0.53&CDS=1-1659, snap_masked-NODE_25_length_5614_cov_12.2025_ID_49-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_25_length_5614_cov_12.2025_ID_49-processed-gene-0.4&CDS=1-1584, snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-8.32-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-8.32&CDS=1-1929, snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-5.15-mRNA-1_1&gene=snap_masked-NODE_5_length_777825_cov_13.2933_ID_9-processed-gene-5.15&CDS=1-1809
8	OG0000008	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-8.57-mRNA-1_1&gene=snap_masked-NODE_2_length_1250338_cov_14.0143_ID_3-processed-gene-8.57&CDS=1-1065, snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NODE_6_length_753317_cov_13.1204_ID_11-processed-gene-2.121&CDS=1-1128
9	OG0000009	YDR380W, YGR087C, YLR044C, YLR134W	snap_masked-NODE_11_length_163730_cov_12.9314_ID_21-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_11_length_163730_cov_12.9314_ID_21-processed-gene-0.38&CDS=1-1821, snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NODE_4_length_855327_cov_14.0443_ID_7-processed-gene-1.8&CDS=1-1836, snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-2.31-mRNA-1_1&gene=snap_masked-NODE_7_length_738499_cov_13.121_ID_13-processed-gene-2.31&CDS=1-1680
