	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035048_Barnettozyma_salicaria
0	OG0000000	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-flattened_line_0-processed-gene-8.148-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.148&CDS=1-2478, augustus_masked-flattened_line_94-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.0&CDS=1-1185, genemark-flattened_line_5-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.54&CDS=1-1590
1	OG0000001	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_11-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.53&CDS=1-885, genemark-flattened_line_3-processed-gene-7.154-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-7.154&CDS=1-2040
2	OG0000002	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_2-processed-gene-3.45-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.45&CDS=1-720, genemark-flattened_line_2-processed-gene-5.112-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.112&CDS=1-720
3	OG0000003	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-flattened_line_3-processed-gene-5.49-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-5.49&CDS=1-1851
4	OG0000004	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_29-processed-gene-1.196-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.196&CDS=1-4506
5	OG0000005	YBR015C	augustus_masked-flattened_line_33-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.52&CDS=1-1812, augustus_masked-flattened_line_33-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.54&CDS=1-1881, genemark-flattened_line_21-processed-gene-2.21-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-2.21&CDS=1-1701, genemark-flattened_line_3-processed-gene-3.37-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-3.37&CDS=1-1719
6	OG0000006	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_3-processed-gene-7.155-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-7.155&CDS=1-1770
7	OG0000007	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_21-processed-gene-1.4-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.4&CDS=1-1716
8	OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_0-processed-gene-8.274-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.274&CDS=1-1047
9	OG0000009	YER056C, YER060W, YER060W-A	genemark-flattened_line_13-processed-gene-3.56-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.56&CDS=1-1557, genemark-flattened_line_27-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.8&CDS=1-1560
10	OG0000010	YGL057C, YIL111W, YNL052W	genemark-flattened_line_17-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.11&CDS=1-765, genemark-flattened_line_49-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.87&CDS=1-453
11	OG0000011	YGL166W, YPR008W	genemark-flattened_line_5-processed-gene-3.5-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.5&CDS=1-1191, snap_masked-flattened_line_0-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.121&CDS=1-837, snap_masked-flattened_line_13-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.91&CDS=1-1482
12	OG0000012	YKL222C, YLR266C, YOR162C, YOR172W	genemark-flattened_line_35-processed-gene-0.269-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.269&CDS=1-2589
13	OG0000013	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-flattened_line_63-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_63-snap-gene-0.0&CDS=1-222
14	OG0000014	YLR155C, YLR157C, YLR158C, YLR160C	genemark-flattened_line_9-processed-gene-2.21-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.21&CDS=1-1086
15	OG0000015	YAL051W, YOR363C	genemark-flattened_line_0-processed-gene-8.250-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.250&CDS=1-2673, snap_masked-flattened_line_13-processed-gene-2.74-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.74&CDS=1-2502
16	OG0000016	YBL003C, YDR225W	genemark-flattened_line_37-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.140&CDS=1-396, genemark-flattened_line_5-processed-gene-3.21-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.21&CDS=1-396
17	OG0000017	YBL042C, YBR021W, YIR028W	genemark-flattened_line_11-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.100&CDS=1-1758
18	OG0000018	YBL068W-A, YBL069W, YER101C	genemark-flattened_line_9-processed-gene-5.158-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-5.158&CDS=1-1245
19	OG0000019	YBR002C, YMR101C	genemark-flattened_line_11-processed-gene-5.267-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-5.267&CDS=1-804, genemark-flattened_line_3-processed-gene-6.6-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.6&CDS=1-936
20	OG0000020	YBR009C, YNL030W	genemark-flattened_line_27-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.16&CDS=1-309, genemark-flattened_line_37-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.103&CDS=1-309
21	OG0000021	YBR010W, YNL031C	genemark-flattened_line_27-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.42&CDS=1-408, genemark-flattened_line_37-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.146&CDS=1-408
22	OG0000022	YBR240C	genemark-flattened_line_0-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.63&CDS=1-657, snap_masked-flattened_line_37-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.45&CDS=1-534, snap_masked-flattened_line_7-processed-gene-1.67-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.67&CDS=1-1791
23	OG0000023	YCL037C, YDR515W	genemark-flattened_line_15-processed-gene-3.334-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-3.334&CDS=1-1503, genemark-flattened_line_29-processed-gene-1.239-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.239&CDS=1-1404
24	OG0000024	YCL068C, YCR038C	genemark-flattened_line_2-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.109&CDS=1-4221, genemark-flattened_line_2-processed-gene-8.3-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.3&CDS=1-4221
25	OG0000025	YCR102C, YLR460C, YNL134C	genemark-flattened_line_19-processed-gene-1.46-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.46&CDS=1-1113
26	OG0000026	YDL037C, YIR019C	augustus_masked-flattened_line_33-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.44&CDS=1-1290, genemark-flattened_line_84-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.3&CDS=1-918
27	OG0000027	YDL082W, YMR142C	genemark-flattened_line_27-processed-gene-1.153-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.153&CDS=1-597, genemark-flattened_line_9-processed-gene-4.45-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.45&CDS=1-597
28	OG0000028	YDR038C, YDR039C, YDR040C	genemark-flattened_line_5-processed-gene-1.107-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-1.107&CDS=1-3174
29	OG0000029	YDR144C, YLR120C, YLR121C	genemark-flattened_line_0-processed-gene-5.139-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.139&CDS=1-1737
30	OG0000030	YDR309C, YHR061C	augustus_masked-flattened_line_2-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.11&CDS=1-1512, snap_masked-flattened_line_2-processed-gene-7.102-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.102&CDS=1-1512
