	OrthologID	Saccharomyces_cerevisiae	yHAB154_Kazachstania_transvaalensis
0	OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	
1	OG0000001	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-NODE_6_length_279243_cov_20.9027_ID_11-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_6_length_279243_cov_20.9027_ID_11-processed-gene-0.120&CDS=1-639
2	OG0000002	YGL113W	augustus_masked-NODE_281_length_1279_cov_170.849_ID_561-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_281_length_1279_cov_170.849_ID_561-processed-gene-0.4&CDS=1-285, augustus_masked-NODE_313_length_1099_cov_117.729_ID_625-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_313_length_1099_cov_117.729_ID_625-processed-gene-0.2&CDS=1-240, augustus_masked-NODE_435_length_676_cov_140.304_ID_869-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_435_length_676_cov_140.304_ID_869-processed-gene-0.0&CDS=1-240, snap_masked-NODE_221_length_1999_cov_190.024_ID_441-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_221_length_1999_cov_190.024_ID_441-processed-gene-0.1&CDS=1-252, snap_masked-NODE_278_length_1293_cov_166.933_ID_555-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_278_length_1293_cov_166.933_ID_555-processed-gene-0.0&CDS=1-240, snap_masked-NODE_281_length_1279_cov_170.849_ID_561-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_281_length_1279_cov_170.849_ID_561-processed-gene-0.0&CDS=1-240, snap_masked-NODE_310_length_1118_cov_251.236_ID_619-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_310_length_1118_cov_251.236_ID_619-processed-gene-0.2&CDS=1-594, snap_masked-NODE_363_length_881_cov_257.122_ID_725-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_363_length_881_cov_257.122_ID_725-processed-gene-0.2&CDS=1-414, snap_masked-NODE_367_length_868_cov_258.873_ID_733-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_367_length_868_cov_258.873_ID_733-processed-gene-0.0&CDS=1-546, snap_masked-NODE_383_length_818_cov_183.882_ID_765-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_383_length_818_cov_183.882_ID_765-processed-gene-0.2&CDS=1-216, snap_masked-NODE_448_length_657_cov_226.912_ID_895-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_448_length_657_cov_226.912_ID_895-processed-gene-0.2&CDS=1-216, snap_masked-NODE_476_length_581_cov_215.281_ID_951-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_476_length_581_cov_215.281_ID_951-processed-gene-0.0&CDS=1-216, snap_masked-NODE_504_length_526_cov_104.517_ID_1007-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_504_length_526_cov_104.517_ID_1007-processed-gene-0.1&CDS=1-240, snap_masked-NODE_505_length_526_cov_99.2262_ID_1009-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_505_length_526_cov_99.2262_ID_1009-processed-gene-0.0&CDS=1-240, snap_masked-NODE_547_length_463_cov_177.835_ID_1093-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_547_length_463_cov_177.835_ID_1093-processed-gene-0.0&CDS=1-231, snap_masked-NODE_552_length_460_cov_193_ID_1103-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_552_length_460_cov_193_ID_1103-processed-gene-0.1&CDS=1-231, snap_masked-NODE_555_length_458_cov_244.426_ID_1109-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_555_length_458_cov_244.426_ID_1109-processed-gene-0.1&CDS=1-192, snap_masked-NODE_604_length_414_cov_292.77_ID_1207-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_604_length_414_cov_292.77_ID_1207-processed-gene-0.0&CDS=1-180, snap_masked-NODE_735_length_297_cov_182.279_ID_1469-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_735_length_297_cov_182.279_ID_1469-processed-gene-0.1&CDS=1-216, snap_masked-NODE_771_length_275_cov_80.155_ID_1541-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_771_length_275_cov_80.155_ID_1541-processed-gene-0.1&CDS=1-216, snap_masked-NODE_95_length_27745_cov_20.5469_ID_189-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_95_length_27745_cov_20.5469_ID_189-processed-gene-0.20&CDS=1-2247
3	OG0000003	YKR101W	augustus_masked-NODE_197_length_2784_cov_106.406_ID_393-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_197_length_2784_cov_106.406_ID_393-processed-gene-0.2&CDS=1-450, augustus_masked-NODE_277_length_1304_cov_97.8641_ID_553-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_277_length_1304_cov_97.8641_ID_553-processed-gene-0.0&CDS=1-1185, snap_masked-NODE_282_length_1279_cov_154.39_ID_563-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_282_length_1279_cov_154.39_ID_563-processed-gene-0.1&CDS=1-435, snap_masked-NODE_289_length_1223_cov_59.1045_ID_577-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_289_length_1223_cov_59.1045_ID_577-processed-gene-0.1&CDS=1-255, snap_masked-NODE_298_length_1187_cov_178.421_ID_595-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_298_length_1187_cov_178.421_ID_595-processed-gene-0.1&CDS=1-435, snap_masked-NODE_299_length_1184_cov_191.188_ID_597-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_299_length_1184_cov_191.188_ID_597-processed-gene-0.0&CDS=1-435, snap_masked-NODE_315_length_1091_cov_190.699_ID_629-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_315_length_1091_cov_190.699_ID_629-processed-gene-0.1&CDS=1-435, snap_masked-NODE_320_length_1051_cov_183.266_ID_639-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_320_length_1051_cov_183.266_ID_639-processed-gene-0.1&CDS=1-435, snap_masked-NODE_329_length_1019_cov_185.146_ID_657-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_329_length_1019_cov_185.146_ID_657-processed-gene-0.0&CDS=1-435, snap_masked-NODE_355_length_904_cov_105.979_ID_709-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_355_length_904_cov_105.979_ID_709-processed-gene-0.1&CDS=1-426, snap_masked-NODE_360_length_890_cov_148.914_ID_719-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_360_length_890_cov_148.914_ID_719-processed-gene-0.1&CDS=1-426, snap_masked-NODE_392_length_794_cov_190.178_ID_783-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_392_length_794_cov_190.178_ID_783-processed-gene-0.0&CDS=1-435, snap_masked-NODE_400_length_776_cov_173.342_ID_799-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_400_length_776_cov_173.342_ID_799-processed-gene-0.1&CDS=1-513, snap_masked-NODE_432_length_685_cov_193.382_ID_863-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_432_length_685_cov_193.382_ID_863-processed-gene-0.0&CDS=1-435, snap_masked-NODE_589_length_433_cov_147.67_ID_1177-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_589_length_433_cov_147.67_ID_1177-processed-gene-0.1&CDS=1-255, snap_masked-NODE_647_length_362_cov_170.247_ID_1293-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_647_length_362_cov_170.247_ID_1293-processed-gene-0.0&CDS=1-255
4	OG0000004		augustus_masked-NODE_180_length_3641_cov_98.3699_ID_359-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_180_length_3641_cov_98.3699_ID_359-processed-gene-0.2&CDS=1-1464, augustus_masked-NODE_183_length_3582_cov_61.9743_ID_365-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_183_length_3582_cov_61.9743_ID_365-processed-gene-0.3&CDS=1-1845, augustus_masked-NODE_227_length_1822_cov_106.185_ID_453-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_227_length_1822_cov_106.185_ID_453-processed-gene-0.0&CDS=1-1569, augustus_masked-NODE_273_length_1342_cov_415.506_ID_545-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_273_length_1342_cov_415.506_ID_545-processed-gene-0.0&CDS=1-924, augustus_masked-NODE_327_length_1022_cov_398.508_ID_653-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_327_length_1022_cov_398.508_ID_653-processed-gene-0.2&CDS=1-744, augustus_masked-NODE_430_length_688_cov_329.423_ID_859-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_430_length_688_cov_329.423_ID_859-processed-gene-0.2&CDS=1-624, augustus_masked-NODE_463_length_623_cov_438.845_ID_925-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_463_length_623_cov_438.845_ID_925-processed-gene-0.2&CDS=1-621, augustus_masked-NODE_5_length_291280_cov_21.3733_ID_9-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_5_length_291280_cov_21.3733_ID_9-processed-gene-0.20&CDS=1-2304, augustus_masked-NODE_60_length_67938_cov_21.2449_ID_119-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_60_length_67938_cov_21.2449_ID_119-processed-gene-0.85&CDS=1-366, augustus_masked-NODE_85_length_35340_cov_24.1504_ID_169-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_85_length_35340_cov_24.1504_ID_169-processed-gene-0.4&CDS=1-1485, snap_masked-NODE_140_length_8916_cov_31.1941_ID_279-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_140_length_8916_cov_31.1941_ID_279-processed-gene-0.2&CDS=1-786, snap_masked-NODE_199_length_2550_cov_26.4743_ID_397-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_199_length_2550_cov_26.4743_ID_397-processed-gene-0.1&CDS=1-537, snap_masked-NODE_246_length_1631_cov_92.2648_ID_491-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_246_length_1631_cov_92.2648_ID_491-processed-gene-0.2&CDS=1-1539, snap_masked-NODE_322_length_1042_cov_84.5419_ID_643-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_322_length_1042_cov_84.5419_ID_643-processed-gene-0.1&CDS=1-963, snap_masked-NODE_335_length_993_cov_372.621_ID_669-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_335_length_993_cov_372.621_ID_669-processed-gene-0.1&CDS=1-585, snap_masked-NODE_615_length_399_cov_468.074_ID_1229-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_615_length_399_cov_468.074_ID_1229-processed-gene-0.1&CDS=1-324, snap_masked-NODE_76_length_47277_cov_21.0296_ID_151-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_76_length_47277_cov_21.0296_ID_151-processed-gene-0.21&CDS=1-276
5	OG0000005	YAR010C, YDR261C-C, YDR365W-A, YDR365W-B, YER137C-A, YGR027W-A, YJR026W, YJR028W, YLR157C-A, YLR227W-A, YML040W, YNL054W-A, YOL103W-A, YPL257W-A, YPR137C-A, YPR158C-C	
6	OG0000006		augustus_masked-NODE_164_length_5463_cov_83.2743_ID_327-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_164_length_5463_cov_83.2743_ID_327-processed-gene-0.4&CDS=1-645, augustus_masked-NODE_195_length_2949_cov_117.093_ID_389-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_195_length_2949_cov_117.093_ID_389-processed-gene-0.2&CDS=1-1068, augustus_masked-NODE_212_length_2265_cov_140.161_ID_423-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_212_length_2265_cov_140.161_ID_423-processed-gene-0.0&CDS=1-432, augustus_masked-NODE_233_length_1767_cov_98.3806_ID_465-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_233_length_1767_cov_98.3806_ID_465-processed-gene-0.2&CDS=1-675, augustus_masked-NODE_234_length_1757_cov_144.411_ID_467-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_234_length_1757_cov_144.411_ID_467-processed-gene-0.2&CDS=1-432, augustus_masked-NODE_284_length_1236_cov_145.738_ID_567-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_284_length_1236_cov_145.738_ID_567-processed-gene-0.0&CDS=1-432, augustus_masked-NODE_292_length_1210_cov_134.594_ID_583-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_292_length_1210_cov_134.594_ID_583-processed-gene-0.0&CDS=1-636, augustus_masked-NODE_356_length_904_cov_172.457_ID_711-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_356_length_904_cov_172.457_ID_711-processed-gene-0.3&CDS=1-636, augustus_masked-NODE_426_length_697_cov_164.777_ID_851-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_426_length_697_cov_164.777_ID_851-processed-gene-0.0&CDS=1-414, snap_masked-NODE_208_length_2351_cov_93.7267_ID_415-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_208_length_2351_cov_93.7267_ID_415-processed-gene-0.2&CDS=1-675, snap_masked-NODE_213_length_2265_cov_139.332_ID_425-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_213_length_2265_cov_139.332_ID_425-processed-gene-0.1&CDS=1-432, snap_masked-NODE_215_length_2196_cov_193.481_ID_429-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_215_length_2196_cov_193.481_ID_429-processed-gene-0.3&CDS=1-366, snap_masked-NODE_218_length_2111_cov_174.158_ID_435-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_218_length_2111_cov_174.158_ID_435-processed-gene-0.2&CDS=1-366, snap_masked-NODE_271_length_1353_cov_171.651_ID_541-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_271_length_1353_cov_171.651_ID_541-processed-gene-0.2&CDS=1-366, snap_masked-NODE_345_length_937_cov_128.816_ID_689-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_345_length_937_cov_128.816_ID_689-processed-gene-0.3&CDS=1-366
7	OG0000007	YBR012W-A, YDR098C-A, YDR210C-C, YDR210C-D, YDR316W-A, YER159C-A, YGR038C-A, YGR161C-C, YLR256W-A, YML045W-A, YMR051C, YOR142W-A, YPR158W-A	
8	OG0000008	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_151_length_7355_cov_22.465_ID_301-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_151_length_7355_cov_22.465_ID_301-processed-gene-0.4&CDS=1-1590
9	OG0000009	YER056C, YER060W, YER060W-A, YIL048W	augustus_masked-NODE_4_length_390199_cov_21.2824_ID_7-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_390199_cov_21.2824_ID_7-processed-gene-0.38&CDS=1-6627, augustus_masked-NODE_57_length_72208_cov_20.5622_ID_113-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_57_length_72208_cov_20.5622_ID_113-processed-gene-0.88&CDS=1-1596, genemark-NODE_57_length_72208_cov_20.5622_ID_113-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_57_length_72208_cov_20.5622_ID_113-processed-gene-0.3&CDS=1-1581
