	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034629_Pichia_exigua
0	OG0000000	YCL074W	augustus_masked-flattened_line_1118-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1118-processed-gene-0.1&CDS=1-291, augustus_masked-flattened_line_1268-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1268-processed-gene-0.0&CDS=1-267, augustus_masked-flattened_line_1390-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1390-processed-gene-0.0&CDS=1-249, augustus_masked-flattened_line_1800-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1800-processed-gene-0.0&CDS=1-204, augustus_masked-flattened_line_490-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_490-processed-gene-0.2&CDS=1-555, augustus_masked-flattened_line_498-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_498-processed-gene-0.0&CDS=1-444, augustus_masked-flattened_line_706-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_706-processed-gene-0.1&CDS=1-336, augustus_masked-flattened_line_714-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_714-processed-gene-0.2&CDS=1-393, augustus_masked-flattened_line_724-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_724-processed-gene-0.2&CDS=1-396, augustus_masked-flattened_line_748-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_748-processed-gene-0.1&CDS=1-249, augustus_masked-flattened_line_836-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_836-processed-gene-0.1&CDS=1-345, augustus_masked-flattened_line_902-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_902-processed-gene-0.2&CDS=1-318, augustus_masked-flattened_line_924-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_924-processed-gene-0.1&CDS=1-354, snap_masked-flattened_line_1018-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1018-processed-gene-0.1&CDS=1-255, snap_masked-flattened_line_1036-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1036-processed-gene-0.0&CDS=1-261, snap_masked-flattened_line_1384-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1384-processed-gene-0.0&CDS=1-183, snap_masked-flattened_line_1580-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1580-processed-gene-0.0&CDS=1-141, snap_masked-flattened_line_42-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.151&CDS=1-1023, snap_masked-flattened_line_472-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_472-processed-gene-0.1&CDS=1-207, snap_masked-flattened_line_884-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_884-processed-gene-0.0&CDS=1-255, snap_masked-flattened_line_956-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_956-processed-gene-0.1&CDS=1-255, snap_masked-flattened_line_958-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_958-processed-gene-0.0&CDS=1-255
1	OG0000001	YBL112C, YEL077C, YFL066C, YHR218W-A, YLL066C, YLL067C, YLR466W, YML133C, YPR204W	augustus_masked-flattened_line_168-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.0&CDS=1-4293, augustus_masked-flattened_line_180-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_180-processed-gene-0.0&CDS=1-3789, augustus_masked-flattened_line_196-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_196-processed-gene-0.0&CDS=1-2163
2	OG0000002	YDR011W, YOR153W, YPL058C	augustus_masked-flattened_line_2-processed-gene-4.167-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.167&CDS=1-4677, augustus_masked-flattened_line_22-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.165&CDS=1-4635, maker-flattened_line_120-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_120-augustus-gene-0.3&CDS=1-3255, maker-flattened_line_178-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_178-augustus-gene-0.2&CDS=1-3243, maker-flattened_line_22-augustus-gene-0.96-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-0.96&CDS=1-4545, maker-flattened_line_56-augustus-gene-0.69-mRNA-1_1&gene=maker-flattened_line_56-augustus-gene-0.69&CDS=1-4488, snap_masked-flattened_line_0-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.16&CDS=1-6585, snap_masked-flattened_line_84-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.15&CDS=1-4848
3	OG0000003	YBR015C, YBR202W	augustus_masked-flattened_line_126-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.25&CDS=1-1815, augustus_masked-flattened_line_18-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.64&CDS=1-1653, augustus_masked-flattened_line_20-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.110&CDS=1-1914, augustus_masked-flattened_line_22-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.143&CDS=1-2625, augustus_masked-flattened_line_30-processed-gene-0.268-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.268&CDS=1-2469, augustus_masked-flattened_line_6-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.34&CDS=1-7800, maker-flattened_line_30-snap-gene-0.106-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.106&CDS=1-3462, snap_masked-flattened_line_62-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.78&CDS=1-2118
4	OG0000004	YJR152W, YLR004C	augustus_masked-flattened_line_106-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.58&CDS=1-1608, augustus_masked-flattened_line_128-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.27&CDS=1-1578, augustus_masked-flattened_line_30-processed-gene-0.265-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.265&CDS=1-1572, augustus_masked-flattened_line_50-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.31&CDS=1-1593, augustus_masked-flattened_line_52-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.144&CDS=1-1572, augustus_masked-flattened_line_62-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.150&CDS=1-1581, augustus_masked-flattened_line_68-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.36&CDS=1-1575, maker-flattened_line_60-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.4&CDS=1-2883
5	OG0000005	YBR240C	augustus_masked-flattened_line_0-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.103&CDS=1-2580, augustus_masked-flattened_line_14-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.33&CDS=1-1338, augustus_masked-flattened_line_16-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.86&CDS=1-1371, augustus_masked-flattened_line_16-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.95&CDS=1-3693, augustus_masked-flattened_line_24-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.8&CDS=1-6768, augustus_masked-flattened_line_66-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.36&CDS=1-1974, genemark-flattened_line_20-processed-gene-1.155-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.155&CDS=1-2229
6	OG0000006	YCL024W, YDR477W, YDR507C, YPL150W	augustus_masked-flattened_line_118-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.1&CDS=1-3945, snap_masked-flattened_line_10-processed-gene-2.89-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.89&CDS=1-1785, snap_masked-flattened_line_8-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.74&CDS=1-2925, snap_masked-flattened_line_8-processed-gene-3.111-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.111&CDS=1-3783
7	OG0000007	YFL029C, YKL139W, YPL031C, YPR161C	augustus_masked-flattened_line_10-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.43&CDS=1-1914, augustus_masked-flattened_line_2-processed-gene-4.154-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.154&CDS=1-981, augustus_masked-flattened_line_28-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.82&CDS=1-1374, augustus_masked-flattened_line_34-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.132&CDS=1-993
8	OG0000008	YBL054W, YER088C	augustus_masked-flattened_line_122-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.11&CDS=1-1044, augustus_masked-flattened_line_74-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.92&CDS=1-1482, augustus_masked-flattened_line_74-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.93&CDS=1-810, maker-flattened_line_10-snap-gene-2.221-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.221&CDS=1-900, snap_masked-flattened_line_62-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.119&CDS=1-1437
9	OG0000009	YIL151C, YKR096W	augustus_masked-flattened_line_200-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_200-processed-gene-0.3&CDS=1-249, augustus_masked-flattened_line_38-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.127&CDS=1-1218, maker-flattened_line_48-snap-gene-0.136-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.136&CDS=1-4659, snap_masked-flattened_line_200-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_200-processed-gene-0.2&CDS=1-213, snap_masked-flattened_line_62-processed-gene-0.140-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.140&CDS=1-207
10	OG0000010	YAL040C, YDL155W, YGR108W, YPR119W	augustus_masked-flattened_line_12-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.86&CDS=1-1761, augustus_masked-flattened_line_72-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.98&CDS=1-1377
11	OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
12	OG0000012	YDR338C, YHR032W	augustus_masked-flattened_line_12-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.142&CDS=1-2376, augustus_masked-flattened_line_88-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.1&CDS=1-1758, genemark-flattened_line_28-processed-gene-1.126-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.126&CDS=1-1815, genemark-flattened_line_60-processed-gene-0.176-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.176&CDS=1-1923
13	OG0000013	YER013W, YGL120C, YKR086W	augustus_masked-flattened_line_50-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.25&CDS=1-2760, augustus_masked-flattened_line_64-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.47&CDS=1-2277, genemark-flattened_line_8-processed-gene-1.31-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.31&CDS=1-4161
14	OG0000014	YFL021W, YJL110C, YKR034W	augustus_masked-flattened_line_24-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.73&CDS=1-2403, genemark-flattened_line_8-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.17&CDS=1-2352, snap_masked-flattened_line_16-processed-gene-2.102-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.102&CDS=1-2562
15	OG0000015	YGR249W, YHR206W, YOR140W	augustus_masked-flattened_line_78-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.86&CDS=1-2211, snap_masked-flattened_line_4-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.85&CDS=1-2277, snap_masked-flattened_line_96-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.35&CDS=1-3333
16	OG0000016	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-flattened_line_36-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.18&CDS=1-2091, maker-flattened_line_32-augustus-gene-0.203-mRNA-1_1&gene=maker-flattened_line_32-augustus-gene-0.203&CDS=1-2934
17	OG0000017	Q0045, Q0065, Q0070	maker-flattened_line_138-snap-gene-0.17-mRNA-1_1&gene=maker-flattened_line_138-snap-gene-0.17&CDS=1-369, snap_masked-flattened_line_138-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.27&CDS=1-222, snap_masked-flattened_line_138-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.37&CDS=1-273
18	OG0000018	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_164-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_164-snap-gene-0.0&CDS=1-183, snap_masked-flattened_line_164-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_164-processed-gene-0.14&CDS=1-279
19	OG0000019	YAL005C, YJL034W, YLL024C	augustus_masked-flattened_line_50-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.33&CDS=1-1935, augustus_masked-flattened_line_60-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.60&CDS=1-2019
20	OG0000020	YAL051W, YOR363C	augustus_masked-flattened_line_14-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.17&CDS=1-2814, augustus_masked-flattened_line_32-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.27&CDS=1-3276, maker-flattened_line_0-snap-gene-4.38-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-4.38&CDS=1-3024
21	OG0000021	YBL016W, YHR030C	augustus_masked-flattened_line_0-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.39&CDS=1-1044, augustus_masked-flattened_line_6-processed-gene-3.228-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.228&CDS=1-1524, maker-flattened_line_10-snap-gene-1.3-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.3&CDS=1-1086
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_8-processed-gene-1.1-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.1&CDS=1-7002
23	OG0000023	YBR126C, YJL172W, YOL153C	augustus_masked-flattened_line_32-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.41&CDS=1-4203, augustus_masked-flattened_line_34-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.126&CDS=1-1740
24	OG0000024	YBR182C, YMR043W, YPL089C	augustus_masked-flattened_line_0-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.65&CDS=1-723, augustus_masked-flattened_line_10-processed-gene-2.176-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.176&CDS=1-1998
25	OG0000025	YBR207W, YER145C	augustus_masked-flattened_line_18-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.24&CDS=1-1239, augustus_masked-flattened_line_50-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.21&CDS=1-1230, maker-flattened_line_8-augustus-gene-3.7-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-3.7&CDS=1-3183
26	OG0000026	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_28-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.67&CDS=1-1374
27	OG0000027	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_124-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.12&CDS=1-3327
28	OG0000028	YCR065W, YIL131C, YNL068C	augustus_masked-flattened_line_4-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.118&CDS=1-1788, augustus_masked-flattened_line_6-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.94&CDS=1-2202
