	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000034604_Sporopachydermia_lactativora@Seq_1	170_0	OG13251	Metschnikowia_hawaiiensis@Seq_2235	snap_masked-NODE_28_length_129675_cov_30.6094_ID_55-processed-gene-0.102-mRNA-1_1 gene=snap_masked-NODE_28_length_129675_cov_30.6094_ID_55-processed-gene-0.102 CDS=1-333	gene=snap_masked-NODE_28_length_129675_cov_30.6094_ID_55-processed-gene-0.102 CDS=1-333	yHMPu5000034604_Sporopachydermia_lactativora
1	yHMPu5000034604_Sporopachydermia_lactativora@Seq_2	170_1	OG2088	Saccharomyces_cerevisiae@YOR056C	snap_masked-NODE_121_length_43796_cov_27.4731_ID_241-processed-gene-0.14-mRNA-1_1 gene=snap_masked-NODE_121_length_43796_cov_27.4731_ID_241-processed-gene-0.14 CDS=1-1428	gene=snap_masked-NODE_121_length_43796_cov_27.4731_ID_241-processed-gene-0.14 CDS=1-1428	yHMPu5000034604_Sporopachydermia_lactativora
2	yHMPu5000034604_Sporopachydermia_lactativora@Seq_3	170_2	OG4431	Saccharomyces_cerevisiae@YOR258W	genemark-NODE_43_length_109197_cov_37.4356_ID_85-processed-gene-0.45-mRNA-1_1 gene=genemark-NODE_43_length_109197_cov_37.4356_ID_85-processed-gene-0.45 CDS=1-831	gene=genemark-NODE_43_length_109197_cov_37.4356_ID_85-processed-gene-0.45 CDS=1-831	yHMPu5000034604_Sporopachydermia_lactativora
3	yHMPu5000034604_Sporopachydermia_lactativora@Seq_4	170_3	OG3012	Saccharomyces_cerevisiae@YHL029C	snap_masked-NODE_11_length_219143_cov_32.1848_ID_21-processed-gene-1.144-mRNA-1_1 gene=snap_masked-NODE_11_length_219143_cov_32.1848_ID_21-processed-gene-1.144 CDS=1-2043	gene=snap_masked-NODE_11_length_219143_cov_32.1848_ID_21-processed-gene-1.144 CDS=1-2043	yHMPu5000034604_Sporopachydermia_lactativora
4	yHMPu5000034604_Sporopachydermia_lactativora@Seq_5	170_4	OG10382	yHMPu5000034604_Sporopachydermia_lactativora@Seq_5483	snap_masked-NODE_269_length_5248_cov_149.637_ID_537-processed-gene-0.4-mRNA-1_1 gene=snap_masked-NODE_269_length_5248_cov_149.637_ID_537-processed-gene-0.4 CDS=1-654	gene=snap_masked-NODE_269_length_5248_cov_149.637_ID_537-processed-gene-0.4 CDS=1-654	yHMPu5000034604_Sporopachydermia_lactativora
5	yHMPu5000034604_Sporopachydermia_lactativora@Seq_6	170_5	OG1064	Saccharomyces_cerevisiae@YNL172W	maker-NODE_35_length_121438_cov_32.3242_ID_69-snap-gene-0.3-mRNA-1_1 gene=maker-NODE_35_length_121438_cov_32.3242_ID_69-snap-gene-0.3 CDS=1-3117	gene=maker-NODE_35_length_121438_cov_32.3242_ID_69-snap-gene-0.3 CDS=1-3117	yHMPu5000034604_Sporopachydermia_lactativora
6	yHMPu5000034604_Sporopachydermia_lactativora@Seq_7	170_6	OG1026	Saccharomyces_cerevisiae@YPL226W	snap_masked-NODE_197_length_17796_cov_53.0605_ID_393-processed-gene-0.2-mRNA-1_1 gene=snap_masked-NODE_197_length_17796_cov_53.0605_ID_393-processed-gene-0.2 CDS=1-3390	gene=snap_masked-NODE_197_length_17796_cov_53.0605_ID_393-processed-gene-0.2 CDS=1-3390	yHMPu5000034604_Sporopachydermia_lactativora
7	yHMPu5000034604_Sporopachydermia_lactativora@Seq_8	170_7	OG193406	yHMPu5000034604_Sporopachydermia_lactativora@Seq_8	snap_masked-NODE_120_length_44029_cov_29.5558_ID_239-processed-gene-0.9-mRNA-1_1 gene=snap_masked-NODE_120_length_44029_cov_29.5558_ID_239-processed-gene-0.9 CDS=1-240	gene=snap_masked-NODE_120_length_44029_cov_29.5558_ID_239-processed-gene-0.9 CDS=1-240	yHMPu5000034604_Sporopachydermia_lactativora
8	yHMPu5000034604_Sporopachydermia_lactativora@Seq_9	170_8	OG4834	Metschnikowia_hibisci@Seq_4338	maker-NODE_27_length_132354_cov_39.7331_ID_53-snap-gene-0.109-mRNA-1_1 gene=maker-NODE_27_length_132354_cov_39.7331_ID_53-snap-gene-0.109 CDS=1-1470	gene=maker-NODE_27_length_132354_cov_39.7331_ID_53-snap-gene-0.109 CDS=1-1470	yHMPu5000034604_Sporopachydermia_lactativora
9	yHMPu5000034604_Sporopachydermia_lactativora@Seq_10	170_9	OG4396	Saccharomyces_cerevisiae@YLR245C	genemark-NODE_192_length_19441_cov_41.6381_ID_383-processed-gene-0.8-mRNA-1_1 gene=genemark-NODE_192_length_19441_cov_41.6381_ID_383-processed-gene-0.8 CDS=1-471	gene=genemark-NODE_192_length_19441_cov_41.6381_ID_383-processed-gene-0.8 CDS=1-471	yHMPu5000034604_Sporopachydermia_lactativora
