	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	Metschnikowia_cerradonensis@Seq_1	73_0	OG94725	Metschnikowia_cerradonensis@Seq_1	augustus_masked-cer-_s661-processed-gene-0.3-mRNA-1_1 gene=augustus_masked-cer-_s661-processed-gene-0.3 CDS=1-603	gene=augustus_masked-cer-_s661-processed-gene-0.3 CDS=1-603	Metschnikowia_cerradonensis
1	Metschnikowia_cerradonensis@Seq_2	73_1	OG4373	Saccharomyces_cerevisiae@YOR084W	genemark-cer-_s304-processed-gene-0.12-mRNA-1_1 gene=genemark-cer-_s304-processed-gene-0.12 CDS=1-1122	gene=genemark-cer-_s304-processed-gene-0.12 CDS=1-1122	Metschnikowia_cerradonensis
2	Metschnikowia_cerradonensis@Seq_3	73_2	OG1923	Saccharomyces_cerevisiae@YHR107C	genemark-cer-_s776-processed-gene-0.52-mRNA-1_1 gene=genemark-cer-_s776-processed-gene-0.52 CDS=1-1158	gene=genemark-cer-_s776-processed-gene-0.52 CDS=1-1158	Metschnikowia_cerradonensis
3	Metschnikowia_cerradonensis@Seq_4	73_3	OG8220	Metschnikowia_santaceciliae@Seq_3191	augustus_masked-cer-_C43928-processed-gene-0.2-mRNA-1_1 gene=augustus_masked-cer-_C43928-processed-gene-0.2 CDS=1-1017	gene=augustus_masked-cer-_C43928-processed-gene-0.2 CDS=1-1017	Metschnikowia_cerradonensis
4	Metschnikowia_cerradonensis@Seq_5	73_4	OG172154	Metschnikowia_cerradonensis@Seq_5	snap_masked-cer-_s622-processed-gene-0.12-mRNA-1_1 gene=snap_masked-cer-_s622-processed-gene-0.12 CDS=1-180	gene=snap_masked-cer-_s622-processed-gene-0.12 CDS=1-180	Metschnikowia_cerradonensis
5	Metschnikowia_cerradonensis@Seq_6	73_5	OG4096	Saccharomyces_cerevisiae@YJL124C	genemark-cer-_s624-processed-gene-0.72-mRNA-1_1 gene=genemark-cer-_s624-processed-gene-0.72 CDS=1-549	gene=genemark-cer-_s624-processed-gene-0.72 CDS=1-549	Metschnikowia_cerradonensis
6	Metschnikowia_cerradonensis@Seq_7	73_6	OG16952	Metschnikowia_matae_maris@Seq_741	snap_masked-cer-_s538-processed-gene-0.3-mRNA-1_1 gene=snap_masked-cer-_s538-processed-gene-0.3 CDS=1-450	gene=snap_masked-cer-_s538-processed-gene-0.3 CDS=1-450	Metschnikowia_cerradonensis
7	Metschnikowia_cerradonensis@Seq_8	73_7	OG82768	Metschnikowia_cerradonensis@Seq_8	snap_masked-cer-_s288-processed-gene-0.9-mRNA-1_1 gene=snap_masked-cer-_s288-processed-gene-0.9 CDS=1-192	gene=snap_masked-cer-_s288-processed-gene-0.9 CDS=1-192	Metschnikowia_cerradonensis
8	Metschnikowia_cerradonensis@Seq_9	73_8	OG7966	yHMPu5000035707_Candida_heveicola@Seq_211	snap_masked-cer-_s173-processed-gene-1.7-mRNA-1_1 gene=snap_masked-cer-_s173-processed-gene-1.7 CDS=1-540	gene=snap_masked-cer-_s173-processed-gene-1.7 CDS=1-540	Metschnikowia_cerradonensis
9	Metschnikowia_cerradonensis@Seq_10	73_9	OG3757	Saccharomyces_cerevisiae@YMR119W	genemark-cer-_s247-processed-gene-0.19-mRNA-1_1 gene=genemark-cer-_s247-processed-gene-0.19 CDS=1-2376	gene=genemark-cer-_s247-processed-gene-0.19 CDS=1-2376	Metschnikowia_cerradonensis
