	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	Babjeviella_inositovora@Seq_1	9_0	OG147382	Babjeviella_inositovora@Seq_1	genemark-scaffold_3-processed-gene-1.95-mRNA-1_1 gene=genemark-scaffold_3-processed-gene-1.95 CDS=1-1305	gene=genemark-scaffold_3-processed-gene-1.95 CDS=1-1305	Babjeviella_inositovora
1	Babjeviella_inositovora@Seq_2	9_1	OG9363	yHMPu5000034597_Candida_stellimalicola@Seq_1912	genemark-scaffold_3-processed-gene-4.113-mRNA-1_1 gene=genemark-scaffold_3-processed-gene-4.113 CDS=1-495	gene=genemark-scaffold_3-processed-gene-4.113 CDS=1-495	Babjeviella_inositovora
2	Babjeviella_inositovora@Seq_3	9_2	OG2690	Saccharomyces_cerevisiae@YOL147C	genemark-scaffold_12-processed-gene-3.244-mRNA-1_1 gene=genemark-scaffold_12-processed-gene-3.244 CDS=1-702	gene=genemark-scaffold_12-processed-gene-3.244 CDS=1-702	Babjeviella_inositovora
3	Babjeviella_inositovora@Seq_4	9_3	OG1014	Saccharomyces_cerevisiae@YGR032W	augustus_masked-scaffold_1-processed-gene-7.28-mRNA-1_1 gene=augustus_masked-scaffold_1-processed-gene-7.28 CDS=1-5298	gene=augustus_masked-scaffold_1-processed-gene-7.28 CDS=1-5298	Babjeviella_inositovora
4	Babjeviella_inositovora@Seq_5	9_4	OG4251	Saccharomyces_cerevisiae@YPR079W	genemark-scaffold_12-processed-gene-0.22-mRNA-1_1 gene=genemark-scaffold_12-processed-gene-0.22 CDS=1-819	gene=genemark-scaffold_12-processed-gene-0.22 CDS=1-819	Babjeviella_inositovora
5	Babjeviella_inositovora@Seq_6	9_5	OG2057	Saccharomyces_cerevisiae@YDL205C	genemark-scaffold_1-processed-gene-10.148-mRNA-1_1 gene=genemark-scaffold_1-processed-gene-10.148 CDS=1-1140	gene=genemark-scaffold_1-processed-gene-10.148 CDS=1-1140	Babjeviella_inositovora
6	Babjeviella_inositovora@Seq_7	9_6	OG3381	Saccharomyces_cerevisiae@YPL183C	genemark-scaffold_12-processed-gene-1.100-mRNA-1_1 gene=genemark-scaffold_12-processed-gene-1.100 CDS=1-3045	gene=genemark-scaffold_12-processed-gene-1.100 CDS=1-3045	Babjeviella_inositovora
7	Babjeviella_inositovora@Seq_8	9_7	OG3612	Saccharomyces_cerevisiae@YHR128W	genemark-scaffold_6-processed-gene-4.15-mRNA-1_1 gene=genemark-scaffold_6-processed-gene-4.15 CDS=1-663	gene=genemark-scaffold_6-processed-gene-4.15 CDS=1-663	Babjeviella_inositovora
8	Babjeviella_inositovora@Seq_9	9_8	OG5079	yHMPu5000041863_Candida_gorgasii@Seq_4845	genemark-scaffold_1-processed-gene-6.30-mRNA-1_1 gene=genemark-scaffold_1-processed-gene-6.30 CDS=1-351	gene=genemark-scaffold_1-processed-gene-6.30 CDS=1-351	Babjeviella_inositovora
9	Babjeviella_inositovora@Seq_10	9_9	OG1470	Saccharomyces_cerevisiae@YGL055W	genemark-scaffold_1-processed-gene-22.69-mRNA-1_1 gene=genemark-scaffold_1-processed-gene-22.69 CDS=1-1467	gene=genemark-scaffold_1-processed-gene-22.69 CDS=1-1467	Babjeviella_inositovora
