	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041824_Debaryomyces_subglobosus
0	OG0000000	YKR064W, YLR256W, YOL093W	augustus_masked-NODE_15_length_260769_cov_14.0345_ID_2968-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_15_length_260769_cov_14.0345_ID_2968-processed-gene-1.110&CDS=1-10251, genemark-NODE_12_length_294024_cov_13.3353_ID_2811-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_12_length_294024_cov_13.3353_ID_2811-processed-gene-0.44&CDS=1-2328, genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-0.107&CDS=1-1020, genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-0.96&CDS=1-2082, genemark-NODE_26_length_32503_cov_21.6233_ID_3717-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_26_length_32503_cov_21.6233_ID_3717-processed-gene-0.1&CDS=1-3129, genemark-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-3.80-mRNA-1_1&gene=genemark-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-3.80&CDS=1-2244, genemark-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-5.128-mRNA-1_1&gene=genemark-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-5.128&CDS=1-2907, genemark-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.107&CDS=1-2292, genemark-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.109&CDS=1-2628, maker-NODE_2_length_1437268_cov_13.7297_ID_2256-augustus-gene-5.156-mRNA-1_1&gene=maker-NODE_2_length_1437268_cov_13.7297_ID_2256-augustus-gene-5.156&CDS=1-6582, snap_masked-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-0.77&CDS=1-690, snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.72&CDS=1-765, snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.73&CDS=1-453, snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.74&CDS=1-396, snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.75&CDS=1-549, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-13.102-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-13.102&CDS=1-2763, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-5.83-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-5.83&CDS=1-3279, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-9.8-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-9.8&CDS=1-1116, snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.155-mRNA-1_1&gene=snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.155&CDS=1-2781, snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-4.72-mRNA-1_1&gene=snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-4.72&CDS=1-2352, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-6.178-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-6.178&CDS=1-2208
1	OG0000001	YGL191W, YJR061W, YJR062C, YKL201C, YPR097W	augustus_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-0.100&CDS=1-2847, augustus_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-0.119&CDS=1-3408, augustus_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-8.146&CDS=1-477, augustus_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.123&CDS=1-5175, genemark-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.194-mRNA-1_1&gene=genemark-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.194&CDS=1-1809, maker-NODE_13_length_283517_cov_16.4372_ID_2574-snap-gene-0.42-mRNA-1_1&gene=maker-NODE_13_length_283517_cov_16.4372_ID_2574-snap-gene-0.42&CDS=1-4872, snap_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-0.91&CDS=1-2676, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-4.169-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-4.169&CDS=1-2400, snap_masked-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-1.180-mRNA-1_1&gene=snap_masked-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-1.180&CDS=1-2181
2	OG0000002	YCL025C, YDR508C, YKR039W	genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-11.60-mRNA-1_1&gene=genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-11.60&CDS=1-1767, genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-6.74-mRNA-1_1&gene=genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-6.74&CDS=1-1692, snap_masked-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-0.118&CDS=1-1716, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-11.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-11.116&CDS=1-1701, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-13.17-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-13.17&CDS=1-1716, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-2.130&CDS=1-1734, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-3.92-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-3.92&CDS=1-1740, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-0.69&CDS=1-1755, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-4.35&CDS=1-1761
3	OG0000003	YFL040W	maker-NODE_10_length_307641_cov_16.6427_ID_3803-snap-gene-2.180-mRNA-1_1&gene=maker-NODE_10_length_307641_cov_16.6427_ID_3803-snap-gene-2.180&CDS=1-1170, snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-2.24-mRNA-1_1&gene=snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-2.24&CDS=1-1545, snap_masked-NODE_12_length_294024_cov_13.3353_ID_2811-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NODE_12_length_294024_cov_13.3353_ID_2811-processed-gene-1.110&CDS=1-1854, snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.28&CDS=1-1641, snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.34&CDS=1-1626, snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.41&CDS=1-1515, snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.72&CDS=1-1644, snap_masked-NODE_26_length_32503_cov_21.6233_ID_3717-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_26_length_32503_cov_21.6233_ID_3717-processed-gene-0.21&CDS=1-1593, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-4.1-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-4.1&CDS=1-1656, snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.133-mRNA-1_1&gene=snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.133&CDS=1-1641
4	OG0000004	YBR293W, YCL069W, YGR224W, YKR105C, YMR088C, YPR198W	genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-3.141-mRNA-1_1&gene=genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-3.141&CDS=1-1731, genemark-NODE_22_length_108703_cov_19.075_ID_3475-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_22_length_108703_cov_19.075_ID_3475-processed-gene-0.121&CDS=1-1872, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-6.107-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-6.107&CDS=1-1878
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_27_length_26933_cov_20.5171_ID_3789-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_27_length_26933_cov_20.5171_ID_3789-processed-gene-0.17&CDS=1-1734, snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-0.36&CDS=1-1704
6	OG0000006	YDR368W, YOR120W, YPR022C	maker-NODE_10_length_307641_cov_16.6427_ID_3803-augustus-gene-2.0-mRNA-1_1&gene=maker-NODE_10_length_307641_cov_16.6427_ID_3803-augustus-gene-2.0&CDS=1-3189, maker-NODE_20_length_192465_cov_17.6434_ID_2653-snap-gene-0.104-mRNA-1_1&gene=maker-NODE_20_length_192465_cov_17.6434_ID_2653-snap-gene-0.104&CDS=1-2352, maker-NODE_4_length_857964_cov_14.0836_ID_1980-augustus-gene-3.109-mRNA-1_1&gene=maker-NODE_4_length_857964_cov_14.0836_ID_1980-augustus-gene-3.109&CDS=1-2229, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-2.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-2.134&CDS=1-2418, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-6.158-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-6.158&CDS=1-3519
7	OG0000007	YDR402C, YJL039C	augustus_masked-NODE_59_length_1611_cov_16.444_ID_5463-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_59_length_1611_cov_16.444_ID_5463-processed-gene-0.0&CDS=1-516, genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-10.2-mRNA-1_1&gene=genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-10.2&CDS=1-7365, genemark-NODE_63_length_1441_cov_14.6706_ID_5251-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_63_length_1441_cov_14.6706_ID_5251-processed-gene-0.0&CDS=1-897, snap_masked-NODE_59_length_1611_cov_16.444_ID_5463-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_59_length_1611_cov_16.444_ID_5463-processed-gene-0.3&CDS=1-555, snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.79&CDS=1-1974, snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.153&CDS=1-1572
8	OG0000008	YER073W, YMR169C, YMR170C, YOR374W	maker-NODE_1_length_1734690_cov_13.5478_ID_3616-snap-gene-14.1-mRNA-1_1&gene=maker-NODE_1_length_1734690_cov_13.5478_ID_3616-snap-gene-14.1&CDS=1-1977, snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_13_length_283517_cov_16.4372_ID_2574-processed-gene-0.54&CDS=1-1611, snap_masked-NODE_19_length_197142_cov_16.3538_ID_3032-processed-gene-0.218-mRNA-1_1&gene=snap_masked-NODE_19_length_197142_cov_16.3538_ID_3032-processed-gene-0.218&CDS=1-1506, snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.137-mRNA-1_1&gene=snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-1.137&CDS=1-1536
9	OG0000009	YGL092W	augustus_masked-NODE_40_length_5074_cov_12.538_ID_4643-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_40_length_5074_cov_12.538_ID_4643-processed-gene-0.6&CDS=1-414, augustus_masked-NODE_85_length_673_cov_13.2914_ID_7904-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_85_length_673_cov_13.2914_ID_7904-processed-gene-0.2&CDS=1-669, genemark-NODE_14_length_267384_cov_11.5819_ID_2200-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_14_length_267384_cov_11.5819_ID_2200-processed-gene-0.111&CDS=1-2715, genemark-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-6.220-mRNA-1_1&gene=genemark-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-6.220&CDS=1-6579, snap_masked-NODE_18_length_204943_cov_13.5429_ID_3137-processed-gene-1.132-mRNA-1_1&gene=snap_masked-NODE_18_length_204943_cov_13.5429_ID_3137-processed-gene-1.132&CDS=1-2511, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-12.81-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-12.81&CDS=1-1605, snap_masked-NODE_71_length_1066_cov_12.8232_ID_5951-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_71_length_1066_cov_12.8232_ID_5951-processed-gene-0.0&CDS=1-957
