	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034625_Pichia_kudriavzevii
0	OG0000000		augustus_masked-scf7180000022712-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022712-processed-gene-0.0&CDS=1-600, augustus_masked-scf7180000022976-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022976-processed-gene-0.0&CDS=1-339, augustus_masked-scf7180000022993-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000022993-processed-gene-0.2&CDS=1-399, augustus_masked-scf7180000023166-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000023166-processed-gene-0.2&CDS=1-204, augustus_masked-scf7180000023213-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000023213-processed-gene-0.0&CDS=1-612, augustus_masked-scf7180000023240-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000023240-processed-gene-0.2&CDS=1-204, augustus_masked-scf7180000023259-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000023259-processed-gene-0.3&CDS=1-789, augustus_masked-scf7180000023362-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000023362-processed-gene-0.0&CDS=1-1218, augustus_masked-scf7180000023368-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000023368-processed-gene-0.18&CDS=1-603, augustus_masked-scf7180000023401-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000023401-processed-gene-0.4&CDS=1-204, snap_masked-scf7180000022886-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000022886-processed-gene-0.0&CDS=1-255, snap_masked-scf7180000022910-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000022910-processed-gene-0.1&CDS=1-228, snap_masked-scf7180000023118-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000023118-processed-gene-0.0&CDS=1-312, snap_masked-scf7180000023194-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000023194-processed-gene-0.1&CDS=1-183, snap_masked-scf7180000023205-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000023205-processed-gene-0.0&CDS=1-312, snap_masked-scf7180000023211-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000023211-processed-gene-0.2&CDS=1-282, snap_masked-scf7180000023228-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000023228-processed-gene-0.0&CDS=1-255, snap_masked-scf7180000023252-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000023252-processed-gene-0.0&CDS=1-363, snap_masked-scf7180000023309-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000023309-processed-gene-0.1&CDS=1-348, snap_masked-scf7180000023382-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000023382-processed-gene-0.42&CDS=1-228, snap_masked-scf7180000023386-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000023386-processed-gene-0.40&CDS=1-987, snap_masked-scf7180000023386-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000023386-processed-gene-0.41&CDS=1-357, snap_masked-scf7180000023401-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000023401-processed-gene-0.0&CDS=1-255, snap_masked-scf7180000023406-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000023406-processed-gene-0.4&CDS=1-237, snap_masked-scf7180000023407-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000023407-processed-gene-0.0&CDS=1-228
1	OG0000001	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL219W, YLR081W, YOL156W	genemark-scf7180000023345-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000023345-processed-gene-0.54&CDS=1-1647, genemark-scf7180000023378-processed-gene-1.58-mRNA-1_1&gene=genemark-scf7180000023378-processed-gene-1.58&CDS=1-1638, genemark-scf7180000023383-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000023383-processed-gene-0.89&CDS=1-1647, genemark-scf7180000023413-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000023413-processed-gene-0.4&CDS=1-1656
2	OG0000002	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-scf7180000023396-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-scf7180000023396-processed-gene-1.121&CDS=1-1911, maker-scf7180000023371-augustus-gene-0.2-mRNA-1_1&gene=maker-scf7180000023371-augustus-gene-0.2&CDS=1-3894
3	OG0000003	YER047C	augustus_masked-scf7180000022426-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000022426-processed-gene-0.2&CDS=1-1356, augustus_masked-scf7180000022427-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000022427-processed-gene-0.14&CDS=1-1995, augustus_masked-scf7180000022428-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000022428-processed-gene-0.14&CDS=1-1995, augustus_masked-scf7180000022672-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022672-processed-gene-0.0&CDS=1-636, augustus_masked-scf7180000023340-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000023340-processed-gene-0.69&CDS=1-636, augustus_masked-scf7180000023355-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000023355-processed-gene-0.38&CDS=1-1356
4	OG0000004	YHR036W	augustus_masked-scf7180000023350-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000023350-processed-gene-0.34&CDS=1-933, snap_masked-scf7180000022640-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000022640-processed-gene-0.4&CDS=1-933, snap_masked-scf7180000022641-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000022641-processed-gene-0.1&CDS=1-933, snap_masked-scf7180000022734-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000022734-processed-gene-0.1&CDS=1-933, snap_masked-scf7180000022735-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000022735-processed-gene-0.1&CDS=1-933, snap_masked-scf7180000023182-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000023182-processed-gene-0.7&CDS=1-933
5	OG0000005	YHR040W	augustus_masked-scf7180000022734-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000022734-processed-gene-0.8&CDS=1-570, augustus_masked-scf7180000022735-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000022735-processed-gene-0.8&CDS=1-582, snap_masked-scf7180000022640-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000022640-processed-gene-0.5&CDS=1-570, snap_masked-scf7180000022641-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000022641-processed-gene-0.2&CDS=1-582, snap_masked-scf7180000023182-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000023182-processed-gene-0.8&CDS=1-594, snap_masked-scf7180000023410-processed-gene-0.109-mRNA-1_1&gene=snap_masked-scf7180000023410-processed-gene-0.109&CDS=1-771
6	OG0000006	YHR085W	genemark-scf7180000022640-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000022640-processed-gene-0.6&CDS=1-1071, genemark-scf7180000022641-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000022641-processed-gene-0.3&CDS=1-1071, genemark-scf7180000022734-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000022734-processed-gene-0.3&CDS=1-1071, genemark-scf7180000022735-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000022735-processed-gene-0.3&CDS=1-1071, genemark-scf7180000023182-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000023182-processed-gene-0.3&CDS=1-1071, genemark-scf7180000023350-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000023350-processed-gene-0.11&CDS=1-1071
7	OG0000007	YIL151C, YKR096W	genemark-scf7180000022427-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000022427-processed-gene-0.2&CDS=1-1212, genemark-scf7180000022428-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000022428-processed-gene-0.2&CDS=1-1212, genemark-scf7180000022672-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000022672-processed-gene-0.12&CDS=1-1212, genemark-scf7180000023340-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000023340-processed-gene-0.93&CDS=1-1212, maker-scf7180000023372-snap-gene-0.61-mRNA-1_1&gene=maker-scf7180000023372-snap-gene-0.61&CDS=1-5322
8	OG0000008	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-scf7180000023254-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000023254-processed-gene-0.40&CDS=1-2079, genemark-scf7180000023338-processed-gene-0.188-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.188&CDS=1-2088
9	OG0000009	YLR256W	genemark-scf7180000023330-processed-gene-1.33-mRNA-1_1&gene=genemark-scf7180000023330-processed-gene-1.33&CDS=1-3105, genemark-scf7180000023333-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000023333-processed-gene-0.38&CDS=1-2685, genemark-scf7180000023343-processed-gene-1.91-mRNA-1_1&gene=genemark-scf7180000023343-processed-gene-1.91&CDS=1-3279, genemark-scf7180000023344-processed-gene-1.218-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-1.218&CDS=1-3072, genemark-scf7180000023344-processed-gene-1.221-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-1.221&CDS=1-2982, snap_masked-scf7180000023343-processed-gene-1.47-mRNA-1_1&gene=snap_masked-scf7180000023343-processed-gene-1.47&CDS=1-4455
