	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000034892_Ogataea_pilisensis@Seq_1	231_0	OG3259	Saccharomyces_cerevisiae@YOR216C	genemark-NODE_61_length_78573_cov_15.1304_ID_121-processed-gene-0.16-mRNA-1_1 gene=genemark-NODE_61_length_78573_cov_15.1304_ID_121-processed-gene-0.16 CDS=1-1560	gene=genemark-NODE_61_length_78573_cov_15.1304_ID_121-processed-gene-0.16 CDS=1-1560	yHMPu5000034892_Ogataea_pilisensis
1	yHMPu5000034892_Ogataea_pilisensis@Seq_2	231_1	OG10427	yHMPu5000034615_Saturnispora_zaruensis@Seq_4594	snap_masked-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-1.104-mRNA-1_1 gene=snap_masked-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-1.104 CDS=1-1701	gene=snap_masked-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-1.104 CDS=1-1701	yHMPu5000034892_Ogataea_pilisensis
2	yHMPu5000034892_Ogataea_pilisensis@Seq_3	231_2	OG3865	Metschnikowia_kipukae@Seq_206	genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.63-mRNA-1_1 gene=genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.63 CDS=1-3174	gene=genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.63 CDS=1-3174	yHMPu5000034892_Ogataea_pilisensis
3	yHMPu5000034892_Ogataea_pilisensis@Seq_4	231_3	OG4807	Saccharomyces_cerevisiae@YMR267W	genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-0.73-mRNA-1_1 gene=genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-0.73 CDS=1-927	gene=genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-0.73 CDS=1-927	yHMPu5000034892_Ogataea_pilisensis
4	yHMPu5000034892_Ogataea_pilisensis@Seq_5	231_4	OG3492	Saccharomyces_cerevisiae@YGL058W	genemark-NODE_28_length_170189_cov_14.5606_ID_55-processed-gene-0.22-mRNA-1_1 gene=genemark-NODE_28_length_170189_cov_14.5606_ID_55-processed-gene-0.22 CDS=1-564	gene=genemark-NODE_28_length_170189_cov_14.5606_ID_55-processed-gene-0.22 CDS=1-564	yHMPu5000034892_Ogataea_pilisensis
5	yHMPu5000034892_Ogataea_pilisensis@Seq_6	231_5	OG1593	Saccharomyces_cerevisiae@YHR108W	genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-0.36-mRNA-1_1 gene=genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-0.36 CDS=1-1740	gene=genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-0.36 CDS=1-1740	yHMPu5000034892_Ogataea_pilisensis
6	yHMPu5000034892_Ogataea_pilisensis@Seq_7	231_6	OG114652	yHMPu5000034892_Ogataea_pilisensis@Seq_7	augustus_masked-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.93-mRNA-1_1 gene=augustus_masked-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.93 CDS=1-318	gene=augustus_masked-NODE_42_length_123432_cov_14.0942_ID_83-processed-gene-0.93 CDS=1-318	yHMPu5000034892_Ogataea_pilisensis
7	yHMPu5000034892_Ogataea_pilisensis@Seq_8	231_7	OG5204	yHMPu5000041678_Debaryomyces_prosopidis@Seq_3699	genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-1.59-mRNA-1_1 gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-1.59 CDS=1-792	gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-1.59 CDS=1-792	yHMPu5000034892_Ogataea_pilisensis
8	yHMPu5000034892_Ogataea_pilisensis@Seq_9	231_8	OG2817	Saccharomyces_cerevisiae@YMR115W	augustus_masked-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.99-mRNA-1_1 gene=augustus_masked-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.99 CDS=1-1407	gene=augustus_masked-NODE_46_length_114098_cov_14.6674_ID_91-processed-gene-0.99 CDS=1-1407	yHMPu5000034892_Ogataea_pilisensis
9	yHMPu5000034892_Ogataea_pilisensis@Seq_10	231_9	OG11347	yHMPu5000034899_Ogataea_kodamae@Seq_1720	snap_masked-NODE_108_length_25742_cov_15.286_ID_215-processed-gene-0.26-mRNA-1_1 gene=snap_masked-NODE_108_length_25742_cov_15.286_ID_215-processed-gene-0.26 CDS=1-243	gene=snap_masked-NODE_108_length_25742_cov_15.286_ID_215-processed-gene-0.26 CDS=1-243	yHMPu5000034892_Ogataea_pilisensis
10	yHMPu5000034892_Ogataea_pilisensis@Seq_11	231_10	OG3225	Saccharomyces_cerevisiae@YCR032W	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.55-mRNA-1_1 gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.55 CDS=1-6666	gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.55 CDS=1-6666	yHMPu5000034892_Ogataea_pilisensis
11	yHMPu5000034892_Ogataea_pilisensis@Seq_12	231_11	OG7260	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_6665	genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.56-mRNA-1_1 gene=genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.56 CDS=1-1965	gene=genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.56 CDS=1-1965	yHMPu5000034892_Ogataea_pilisensis
12	yHMPu5000034892_Ogataea_pilisensis@Seq_13	231_12	OG1082	Saccharomyces_cerevisiae@YMR154C	genemark-NODE_97_length_38694_cov_15.2807_ID_193-processed-gene-0.12-mRNA-1_1 gene=genemark-NODE_97_length_38694_cov_15.2807_ID_193-processed-gene-0.12 CDS=1-981	gene=genemark-NODE_97_length_38694_cov_15.2807_ID_193-processed-gene-0.12 CDS=1-981	yHMPu5000034892_Ogataea_pilisensis
13	yHMPu5000034892_Ogataea_pilisensis@Seq_14	231_13	OG1234	Saccharomyces_cerevisiae@YDR153C	genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.9-mRNA-1_1 gene=genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.9 CDS=1-483	gene=genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.9 CDS=1-483	yHMPu5000034892_Ogataea_pilisensis
14	yHMPu5000034892_Ogataea_pilisensis@Seq_15	231_14	OG2370	Saccharomyces_cerevisiae@YLR314C	snap_masked-NODE_39_length_127040_cov_14.6266_ID_77-processed-gene-0.59-mRNA-1_1 gene=snap_masked-NODE_39_length_127040_cov_14.6266_ID_77-processed-gene-0.59 CDS=1-1377	gene=snap_masked-NODE_39_length_127040_cov_14.6266_ID_77-processed-gene-0.59 CDS=1-1377	yHMPu5000034892_Ogataea_pilisensis
