	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000034899_Ogataea_kodamae@Seq_1	234_0	OG5829	yHMPu5000034887_Ogataea_trehaloabstinens@Seq_5321	snap_masked-NODE_12_length_300130_cov_20.6791_ID_23-processed-gene-2.54-mRNA-1_1 gene=snap_masked-NODE_12_length_300130_cov_20.6791_ID_23-processed-gene-2.54 CDS=1-1647	gene=snap_masked-NODE_12_length_300130_cov_20.6791_ID_23-processed-gene-2.54 CDS=1-1647	yHMPu5000034899_Ogataea_kodamae
1	yHMPu5000034899_Ogataea_kodamae@Seq_2	234_1	OG3748	Saccharomyces_cerevisiae@YER074W-A	snap_masked-NODE_8_length_401107_cov_21.2284_ID_15-processed-gene-1.61-mRNA-1_1 gene=snap_masked-NODE_8_length_401107_cov_21.2284_ID_15-processed-gene-1.61 CDS=1-255	gene=snap_masked-NODE_8_length_401107_cov_21.2284_ID_15-processed-gene-1.61 CDS=1-255	yHMPu5000034899_Ogataea_kodamae
2	yHMPu5000034899_Ogataea_kodamae@Seq_3	234_2	OG4637	Saccharomyces_cerevisiae@YPL183W-A	snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-2.141-mRNA-1_1 gene=snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-2.141 CDS=1-189	gene=snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-2.141 CDS=1-189	yHMPu5000034899_Ogataea_kodamae
3	yHMPu5000034899_Ogataea_kodamae@Seq_4	234_3	OG9657	Candida_succiphila@Seq_4350	maker-NODE_10_length_315200_cov_20.7307_ID_19-augustus-gene-1.64-mRNA-1_1 gene=maker-NODE_10_length_315200_cov_20.7307_ID_19-augustus-gene-1.64 CDS=1-1800	gene=maker-NODE_10_length_315200_cov_20.7307_ID_19-augustus-gene-1.64 CDS=1-1800	yHMPu5000034899_Ogataea_kodamae
4	yHMPu5000034899_Ogataea_kodamae@Seq_5	234_4	OG4258	Saccharomyces_cerevisiae@YMR138W	genemark-NODE_23_length_83251_cov_21.0497_ID_45-processed-gene-0.135-mRNA-1_1 gene=genemark-NODE_23_length_83251_cov_21.0497_ID_45-processed-gene-0.135 CDS=1-408	gene=genemark-NODE_23_length_83251_cov_21.0497_ID_45-processed-gene-0.135 CDS=1-408	yHMPu5000034899_Ogataea_kodamae
5	yHMPu5000034899_Ogataea_kodamae@Seq_6	234_5	OG1098	Saccharomyces_cerevisiae@YGR143W	augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.20-mRNA-1_1 gene=augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.20 CDS=1-1941	gene=augustus_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.20 CDS=1-1941	yHMPu5000034899_Ogataea_kodamae
6	yHMPu5000034899_Ogataea_kodamae@Seq_7	234_6	OG1287	Saccharomyces_cerevisiae@YDR178W	snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.49-mRNA-1_1 gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.49 CDS=1-462	gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.49 CDS=1-462	yHMPu5000034899_Ogataea_kodamae
7	yHMPu5000034899_Ogataea_kodamae@Seq_8	234_7	OG1079	yHMPu5000041824_Debaryomyces_subglobosus@Seq_5489	snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-1.188-mRNA-1_1 gene=snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-1.188 CDS=1-1710	gene=snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-1.188 CDS=1-1710	yHMPu5000034899_Ogataea_kodamae
8	yHMPu5000034899_Ogataea_kodamae@Seq_9	234_8	OG6791	yHMPu5000035243_Zygoascus_meyerae@Seq_3905	snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-0.38-mRNA-1_1 gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-0.38 CDS=1-864	gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-0.38 CDS=1-864	yHMPu5000034899_Ogataea_kodamae
9	yHMPu5000034899_Ogataea_kodamae@Seq_10	234_9	OG2689	Saccharomyces_cerevisiae@YJL039C	augustus_masked-NODE_25_length_65446_cov_20.9304_ID_49-processed-gene-0.18-mRNA-1_1 gene=augustus_masked-NODE_25_length_65446_cov_20.9304_ID_49-processed-gene-0.18 CDS=1-5391	gene=augustus_masked-NODE_25_length_65446_cov_20.9304_ID_49-processed-gene-0.18 CDS=1-5391	yHMPu5000034899_Ogataea_kodamae
