	OrthologID	Metschnikowia_borealis	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-bor_s261-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s261-processed-gene-0.14&CDS=1-2754, augustus_masked-bor_s286-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s286-processed-gene-0.13&CDS=1-1209, augustus_masked-bor_s351-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.109&CDS=1-663, augustus_masked-bor_s36-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s36-processed-gene-0.1&CDS=1-747, augustus_masked-bor_s637-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s637-processed-gene-0.2&CDS=1-777, augustus_masked-bor_s738-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s738-processed-gene-0.8&CDS=1-1083, augustus_masked-bor_s80-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.39&CDS=1-2058, augustus_masked-bor_s823-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.48&CDS=1-1485, genemark-bor_C54784-processed-gene-0.2-mRNA-1_1&gene=genemark-bor_C54784-processed-gene-0.2&CDS=1-2940, genemark-bor_s757-processed-gene-0.2-mRNA-1_1&gene=genemark-bor_s757-processed-gene-0.2&CDS=1-834, genemark-bor_s956-processed-gene-0.8-mRNA-1_1&gene=genemark-bor_s956-processed-gene-0.8&CDS=1-2058, snap_masked-bor_s106-processed-gene-0.61-mRNA-1_1&gene=snap_masked-bor_s106-processed-gene-0.61&CDS=1-309, snap_masked-bor_s132-processed-gene-0.19-mRNA-1_1&gene=snap_masked-bor_s132-processed-gene-0.19&CDS=1-1950, snap_masked-bor_s201-processed-gene-0.36-mRNA-1_1&gene=snap_masked-bor_s201-processed-gene-0.36&CDS=1-2409, snap_masked-bor_s201-processed-gene-0.44-mRNA-1_1&gene=snap_masked-bor_s201-processed-gene-0.44&CDS=1-2067, snap_masked-bor_s568-processed-gene-0.99-mRNA-1_1&gene=snap_masked-bor_s568-processed-gene-0.99&CDS=1-1491, snap_masked-bor_s644-processed-gene-0.5-mRNA-1_1&gene=snap_masked-bor_s644-processed-gene-0.5&CDS=1-465	
1	OG0000001	augustus_masked-bor_s563-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-1.26&CDS=1-1644, augustus_masked-bor_s593-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s593-processed-gene-0.22&CDS=1-1506, augustus_masked-bor_s889-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s889-processed-gene-0.2&CDS=1-1701, augustus_masked-bor_s960-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bor_s960-processed-gene-0.50&CDS=1-1683, genemark-bor_s564-processed-gene-0.19-mRNA-1_1&gene=genemark-bor_s564-processed-gene-0.19&CDS=1-1221, maker-bor_s246-augustus-gene-0.16-mRNA-1_1&gene=maker-bor_s246-augustus-gene-0.16&CDS=1-1587, snap_masked-bor_s182-processed-gene-0.5-mRNA-1_1&gene=snap_masked-bor_s182-processed-gene-0.5&CDS=1-1782, snap_masked-bor_s292-processed-gene-0.35-mRNA-1_1&gene=snap_masked-bor_s292-processed-gene-0.35&CDS=1-1482, snap_masked-bor_s44-processed-gene-0.18-mRNA-1_1&gene=snap_masked-bor_s44-processed-gene-0.18&CDS=1-1782, snap_masked-bor_s815-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bor_s815-processed-gene-0.8&CDS=1-1080	YDR144C, YDR349C, YLR120C, YLR121C
2	OG0000002	augustus_masked-bor_s287-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s287-processed-gene-0.22&CDS=1-3036, augustus_masked-bor_s323-processed-gene-0.235-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.235&CDS=1-3414, augustus_masked-bor_s323-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.236&CDS=1-3522, augustus_masked-bor_s323-processed-gene-0.239-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.239&CDS=1-3177, augustus_masked-bor_s568-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-0.76&CDS=1-3450, augustus_masked-bor_s635-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.61&CDS=1-2757, augustus_masked-bor_s813-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s813-processed-gene-0.10&CDS=1-2649, snap_masked-bor_s407-processed-gene-0.13-mRNA-1_1&gene=snap_masked-bor_s407-processed-gene-0.13&CDS=1-276, snap_masked-bor_s563-processed-gene-1.40-mRNA-1_1&gene=snap_masked-bor_s563-processed-gene-1.40&CDS=1-216	YKR064W, YLR256W, YNR063W
3	OG0000003	augustus_masked-bor_s220-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s220-processed-gene-0.0&CDS=1-693, augustus_masked-bor_s370-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s370-processed-gene-0.15&CDS=1-603, augustus_masked-bor_s456-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s456-processed-gene-0.6&CDS=1-402, augustus_masked-bor_s49-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-bor_s49-processed-gene-0.129&CDS=1-693, augustus_masked-bor_s772-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s772-processed-gene-0.8&CDS=1-693, genemark-bor_s801-processed-gene-0.21-mRNA-1_1&gene=genemark-bor_s801-processed-gene-0.21&CDS=1-459, maker-bor_s451-augustus-gene-0.30-mRNA-1_1&gene=maker-bor_s451-augustus-gene-0.30&CDS=1-687	YDR533C, YMR322C, YOR391C, YPL280W
4	OG0000004	augustus_masked-bor_s190-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s190-processed-gene-0.24&CDS=1-1653, augustus_masked-bor_s26-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-1.107&CDS=1-1728, augustus_masked-bor_s26-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-1.143&CDS=1-1752, augustus_masked-bor_s875-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s875-processed-gene-0.14&CDS=1-1668, genemark-bor_s20-processed-gene-0.2-mRNA-1_1&gene=genemark-bor_s20-processed-gene-0.2&CDS=1-1710, maker-bor_s212-augustus-gene-1.134-mRNA-1_1&gene=maker-bor_s212-augustus-gene-1.134&CDS=1-2955, snap_masked-bor_s286-processed-gene-0.40-mRNA-1_1&gene=snap_masked-bor_s286-processed-gene-0.40&CDS=1-1812	YKR039W, YLL061W, YPL274W
5	OG0000005	augustus_masked-bor_s116-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s116-processed-gene-0.10&CDS=1-636, augustus_masked-bor_s345-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.16&CDS=1-900, augustus_masked-bor_s36-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s36-processed-gene-0.0&CDS=1-963, augustus_masked-bor_s371-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s371-processed-gene-0.4&CDS=1-945, augustus_masked-bor_s504-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s504-processed-gene-0.5&CDS=1-414, augustus_masked-bor_s800-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s800-processed-gene-0.0&CDS=1-519, genemark-bor_s924-processed-gene-0.0-mRNA-1_1&gene=genemark-bor_s924-processed-gene-0.0&CDS=1-816, snap_masked-bor_s586-processed-gene-0.17-mRNA-1_1&gene=snap_masked-bor_s586-processed-gene-0.17&CDS=1-534	YKL096W
6	OG0000006	augustus_masked-bor_s418-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-bor_s418-processed-gene-0.161&CDS=1-1764, genemark-bor_s581-processed-gene-0.97-mRNA-1_1&gene=genemark-bor_s581-processed-gene-0.97&CDS=1-4149, maker-bor_s98-augustus-gene-0.4-mRNA-1_1&gene=maker-bor_s98-augustus-gene-0.4&CDS=1-2724, snap_masked-bor_s134-processed-gene-0.4-mRNA-1_1&gene=snap_masked-bor_s134-processed-gene-0.4&CDS=1-243, snap_masked-bor_s575-processed-gene-0.4-mRNA-1_1&gene=snap_masked-bor_s575-processed-gene-0.4&CDS=1-285	YCL024W, YDR477W, YDR507C, YPL150W
7	OG0000007	augustus_masked-bor_s26-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-1.122&CDS=1-2646, augustus_masked-bor_s462-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s462-processed-gene-0.13&CDS=1-3300, augustus_masked-bor_s516-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-bor_s516-processed-gene-0.76&CDS=1-3369, augustus_masked-bor_s662-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s662-processed-gene-0.23&CDS=1-2277, genemark-bor_s824-processed-gene-0.0-mRNA-1_1&gene=genemark-bor_s824-processed-gene-0.0&CDS=1-798	YER013W, YGL120C, YKR086W, YNR011C
8	OG0000008	augustus_masked-bor_s381-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s381-processed-gene-0.25&CDS=1-1788, augustus_masked-bor_s418-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-bor_s418-processed-gene-0.163&CDS=1-1737, augustus_masked-bor_s514-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s514-processed-gene-0.23&CDS=1-1746, augustus_masked-bor_s785-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s785-processed-gene-0.1&CDS=1-1596	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
9	OG0000009	augustus_masked-bor_s197-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-bor_s197-processed-gene-1.128&CDS=1-2259, augustus_masked-bor_s302-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-1.27&CDS=1-2259, augustus_masked-bor_s351-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.131&CDS=1-1674, augustus_masked-bor_s426-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bor_s426-processed-gene-0.45&CDS=1-1773, augustus_masked-bor_s462-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s462-processed-gene-0.16&CDS=1-1494, augustus_masked-bor_s828-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s828-processed-gene-0.19&CDS=1-2679	YJR061W, YKL201C
