	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000035665_Middelhovenomyces_tepae@Seq_1	305_0	OG7553	yHMPu5000035244_Candida_incommunis@Seq_1773	snap_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-7.42-mRNA-1_1 gene=snap_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-7.42 CDS=1-405	gene=snap_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-7.42 CDS=1-405	yHMPu5000035665_Middelhovenomyces_tepae
1	yHMPu5000035665_Middelhovenomyces_tepae@Seq_2	305_1	OG1359	Saccharomyces_cerevisiae@YOL016C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.78-mRNA-1_1 gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.78 CDS=1-1272	gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.78 CDS=1-1272	yHMPu5000035665_Middelhovenomyces_tepae
2	yHMPu5000035665_Middelhovenomyces_tepae@Seq_3	305_2	OG19751	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3500	snap_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-6.22-mRNA-1_1 gene=snap_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-6.22 CDS=1-552	gene=snap_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-6.22 CDS=1-552	yHMPu5000035665_Middelhovenomyces_tepae
3	yHMPu5000035665_Middelhovenomyces_tepae@Seq_4	305_3	OG5676	yHMPu5000035639_Wickerhamomyces_canadensis@Seq_3127	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.108-mRNA-1_1 gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.108 CDS=1-1584	gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.108 CDS=1-1584	yHMPu5000035665_Middelhovenomyces_tepae
4	yHMPu5000035665_Middelhovenomyces_tepae@Seq_5	305_4	OG4143	Metschnikowia_matae@Seq_6796	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.17-mRNA-1_1 gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.17 CDS=1-1089	gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.17 CDS=1-1089	yHMPu5000035665_Middelhovenomyces_tepae
5	yHMPu5000035665_Middelhovenomyces_tepae@Seq_6	305_5	OG2789	Saccharomyces_cerevisiae@YMR077C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-15.231-mRNA-1_1 gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-15.231 CDS=1-624	gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-15.231 CDS=1-624	yHMPu5000035665_Middelhovenomyces_tepae
6	yHMPu5000035665_Middelhovenomyces_tepae@Seq_7	305_6	OG2710	Saccharomyces_cerevisiae@YML127W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.41-mRNA-1_1 gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.41 CDS=1-1716	gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.41 CDS=1-1716	yHMPu5000035665_Middelhovenomyces_tepae
7	yHMPu5000035665_Middelhovenomyces_tepae@Seq_8	305_7	OG11179	yHMPu5000034670_Blastobotrys_proliferans@Seq_5656	augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-13.67-mRNA-1_1 gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-13.67 CDS=1-3600	gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-13.67 CDS=1-3600	yHMPu5000035665_Middelhovenomyces_tepae
8	yHMPu5000035665_Middelhovenomyces_tepae@Seq_9	305_8	OG9639	Xylona_heveae@Seq_5130	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-6.79-mRNA-1_1 gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-6.79 CDS=1-981	gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-6.79 CDS=1-981	yHMPu5000035665_Middelhovenomyces_tepae
9	yHMPu5000035665_Middelhovenomyces_tepae@Seq_10	305_9	OG2341	Saccharomyces_cerevisiae@YDR311W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-4.73-mRNA-1_1 gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-4.73 CDS=1-1572	gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-4.73 CDS=1-1572	yHMPu5000035665_Middelhovenomyces_tepae
