	OrthologID	Saccharomyces_cerevisiae	Yarrowia_keelungensis
0	OG0000000	YPR194C	-processed-gene-0.23-mRNA-1_1&gene=genemark-gi|1002317701|dbj|BCJD01000014.1|-processed-gene-0.23&CDS=1-2616, -processed-gene-10.7-mRNA-1_1&gene=snap_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-10.7&CDS=1-2751, -processed-gene-16.13-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-16.13&CDS=1-1632, -processed-gene-17.111-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-17.111&CDS=1-2604, -processed-gene-20.70-mRNA-1_1&gene=snap_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-20.70&CDS=1-2997, -processed-gene-21.77-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-21.77&CDS=1-2658, -processed-gene-23.22-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-23.22&CDS=1-2643, -processed-gene-3.0-mRNA-1_1&gene=augustus_masked-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-3.0&CDS=1-2706, -processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-3.11&CDS=1-2628, -processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-3.11&CDS=1-3792, -processed-gene-3.4-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-3.4&CDS=1-2613, -processed-gene-3.72-mRNA-1_1&gene=augustus_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-3.72&CDS=1-2622, -processed-gene-4.6-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-4.6&CDS=1-2892, -processed-gene-5.29-mRNA-1_1&gene=genemark-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-5.29&CDS=1-2781, -processed-gene-5.33-mRNA-1_1&gene=genemark-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-5.33&CDS=1-2637, -processed-gene-8.1-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-8.1&CDS=1-2616, -snap-gene-12.45-mRNA-1_1&gene=maker-gi|1002317708|dbj|BCJD01000007.1|-snap-gene-12.45&CDS=1-5331
1	OG0000001	YJR107W	-processed-gene-1.72-mRNA-1_1&gene=snap_masked-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-1.72&CDS=1-1146, -processed-gene-10.64-mRNA-1_1&gene=snap_masked-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-10.64&CDS=1-1143, -processed-gene-13.61-mRNA-1_1&gene=snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-13.61&CDS=1-1200, -processed-gene-19.52-mRNA-1_1&gene=augustus_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-19.52&CDS=1-1221, -processed-gene-19.54-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-19.54&CDS=1-936, -processed-gene-2.43-mRNA-1_1&gene=augustus_masked-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-2.43&CDS=1-1050, -processed-gene-2.79-mRNA-1_1&gene=augustus_masked-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-2.79&CDS=1-975, -processed-gene-22.46-mRNA-1_1&gene=snap_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-22.46&CDS=1-993, -processed-gene-25.111-mRNA-1_1&gene=snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-25.111&CDS=1-1107, -processed-gene-28.39-mRNA-1_1&gene=augustus_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-28.39&CDS=1-945, -processed-gene-3.126-mRNA-1_1&gene=augustus_masked-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-3.126&CDS=1-954, -processed-gene-3.70-mRNA-1_1&gene=snap_masked-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-3.70&CDS=1-1035, -processed-gene-32.64-mRNA-1_1&gene=snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-32.64&CDS=1-1002, -processed-gene-5.59-mRNA-1_1&gene=augustus_masked-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-5.59&CDS=1-1110, -processed-gene-8.14-mRNA-1_1&gene=snap_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-8.14&CDS=1-1092, -processed-gene-8.88-mRNA-1_1&gene=augustus_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-8.88&CDS=1-990
2	OG0000002	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	-processed-gene-10.71-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-10.71&CDS=1-1602
3	OG0000003	YOR388C, YPL275W	-processed-gene-0.35-mRNA-1_1&gene=snap_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-0.35&CDS=1-1104, -processed-gene-0.86-mRNA-1_1&gene=augustus_masked-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-0.86&CDS=1-1104, -processed-gene-1.25-mRNA-1_1&gene=genemark-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-1.25&CDS=1-1104, -processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-1.57&CDS=1-1098, -processed-gene-10.19-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-10.19&CDS=1-1104, -processed-gene-20.199-mRNA-1_1&gene=augustus_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-20.199&CDS=1-666, -processed-gene-22.57-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-22.57&CDS=1-1095, -processed-gene-22.79-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-22.79&CDS=1-1095, -processed-gene-30.53-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-30.53&CDS=1-1104, -processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-4.16&CDS=1-1104, -processed-gene-5.155-mRNA-1_1&gene=genemark-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-5.155&CDS=1-1104, -processed-gene-6.1-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-6.1&CDS=1-1104
4	OG0000004	YGR260W	-processed-gene-1.0-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-1.0&CDS=1-1527, -processed-gene-11.17-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-11.17&CDS=1-1446, -processed-gene-13.18-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-13.18&CDS=1-1530, -processed-gene-18.52-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-18.52&CDS=1-1506, -processed-gene-21.16-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-21.16&CDS=1-1515, -processed-gene-21.30-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-21.30&CDS=1-1536, -processed-gene-23.29-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-23.29&CDS=1-1512, -processed-gene-3.7-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-3.7&CDS=1-873, -processed-gene-4.36-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-4.36&CDS=1-1503, -processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-4.63&CDS=1-1545, -processed-gene-7.72-mRNA-1_1&gene=genemark-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-7.72&CDS=1-1521, -processed-gene-9.69-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-9.69&CDS=1-1587
5	OG0000005	YDR402C	-processed-gene-10.28-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-10.28&CDS=1-1578, -processed-gene-10.56-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-10.56&CDS=1-1578, -processed-gene-12.3-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-12.3&CDS=1-1737, -processed-gene-14.14-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-14.14&CDS=1-1479, -processed-gene-2.54-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-2.54&CDS=1-1539, -processed-gene-2.59-mRNA-1_1&gene=genemark-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-2.59&CDS=1-1578, -processed-gene-3.13-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-3.13&CDS=1-1539, -processed-gene-5.69-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-5.69&CDS=1-1569, -processed-gene-9.90-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-9.90&CDS=1-1533, -snap-gene-4.36-mRNA-1_1&gene=maker-gi|1002317708|dbj|BCJD01000007.1|-snap-gene-4.36&CDS=1-3153
6	OG0000006	YDR541C, YGL039W, YGL157W, YOL151W	-processed-gene-17.129-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-17.129&CDS=1-1014, -processed-gene-18.47-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-18.47&CDS=1-1059, -processed-gene-19.99-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-19.99&CDS=1-1026, -processed-gene-22.2-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-22.2&CDS=1-1005, -processed-gene-25.35-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-25.35&CDS=1-1023, -processed-gene-3.142-mRNA-1_1&gene=genemark-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-3.142&CDS=1-1029, -snap-gene-6.1-mRNA-1_1&gene=maker-gi|1002317707|dbj|BCJD01000008.1|-snap-gene-6.1&CDS=1-1911
7	OG0000007		-processed-gene-10.68-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-10.68&CDS=1-1857, -processed-gene-13.15-mRNA-1_1&gene=augustus_masked-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-13.15&CDS=1-1884, -processed-gene-13.30-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-13.30&CDS=1-1830, -processed-gene-15.68-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-15.68&CDS=1-1926, -processed-gene-20.61-mRNA-1_1&gene=augustus_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-20.61&CDS=1-1872, -processed-gene-28.56-mRNA-1_1&gene=augustus_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-28.56&CDS=1-1908, -processed-gene-4.26-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-4.26&CDS=1-1878, -processed-gene-4.36-mRNA-1_1&gene=augustus_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-4.36&CDS=1-1920, -processed-gene-5.50-mRNA-1_1&gene=snap_masked-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-5.50&CDS=1-1863, -processed-gene-6.8-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-6.8&CDS=1-1884, -processed-gene-8.34-mRNA-1_1&gene=snap_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-8.34&CDS=1-1983
8	OG0000008	YAL005C, YLL024C	-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-0.46&CDS=1-1929, -processed-gene-18.6-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-18.6&CDS=1-1959, -processed-gene-20.108-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-20.108&CDS=1-1944, -processed-gene-20.198-mRNA-1_1&gene=augustus_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-20.198&CDS=1-1929, -processed-gene-32.180-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-32.180&CDS=1-1929, -processed-gene-7.11-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-7.11&CDS=1-1944, -processed-gene-9.11-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-9.11&CDS=1-1953
9	OG0000009	YHR179W, YPL171C	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002317701|dbj|BCJD01000014.1|-processed-gene-0.16&CDS=1-1083, -processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-0.27&CDS=1-1119, -processed-gene-16.20-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-16.20&CDS=1-1122, -processed-gene-20.79-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-20.79&CDS=1-1122, -processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-3.91&CDS=1-1116, -processed-gene-30.31-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-30.31&CDS=1-1113, -processed-gene-9.88-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-9.88&CDS=1-1134
