	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034671_Blastobotrys_peoriensis
0	OG0000000	YBR298C, YDL247W, YJR160C, YPR003C	augustus_masked-NODE_101_length_45765_cov_12.6191_ID_201-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_101_length_45765_cov_12.6191_ID_201-processed-gene-0.34&CDS=1-1635, genemark-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.30&CDS=1-1701, genemark-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.32&CDS=1-1641, genemark-NODE_148_length_13270_cov_11.7619_ID_295-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_148_length_13270_cov_11.7619_ID_295-processed-gene-0.5&CDS=1-1617, genemark-NODE_165_length_6674_cov_18.7039_ID_329-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_165_length_6674_cov_18.7039_ID_329-processed-gene-0.1&CDS=1-1590, genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.40-mRNA-1_1&gene=genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.40&CDS=1-1614, genemark-NODE_21_length_174502_cov_14.6347_ID_41-processed-gene-0.138-mRNA-1_1&gene=genemark-NODE_21_length_174502_cov_14.6347_ID_41-processed-gene-0.138&CDS=1-1623, genemark-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.80&CDS=1-1608, genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_2_length_299800_cov_11.8646_ID_3-processed-gene-1.10&CDS=1-1590, genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.9&CDS=1-1632, genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.246-mRNA-1_1&gene=genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.246&CDS=1-1614, genemark-NODE_64_length_82670_cov_15.6859_ID_127-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_64_length_82670_cov_15.6859_ID_127-processed-gene-0.65&CDS=1-1605, genemark-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.25&CDS=1-1641, genemark-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.30&CDS=1-1656, genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-1.53&CDS=1-627, genemark-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.56&CDS=1-1602, genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.168-mRNA-1_1&gene=genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.168&CDS=1-1671, maker-NODE_21_length_174502_cov_14.6347_ID_41-augustus-gene-0.157-mRNA-1_1&gene=maker-NODE_21_length_174502_cov_14.6347_ID_41-augustus-gene-0.157&CDS=1-2793, maker-NODE_41_length_115665_cov_11.995_ID_81-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_41_length_115665_cov_11.995_ID_81-augustus-gene-0.0&CDS=1-3558
1	OG0000001	YFL040W	augustus_masked-NODE_34_length_128293_cov_13.6237_ID_67-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_34_length_128293_cov_13.6237_ID_67-processed-gene-0.99&CDS=1-1530, genemark-NODE_112_length_36788_cov_12.1643_ID_223-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_112_length_36788_cov_12.1643_ID_223-processed-gene-0.43&CDS=1-1689, genemark-NODE_131_length_28006_cov_12.777_ID_261-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_131_length_28006_cov_12.777_ID_261-processed-gene-0.30&CDS=1-1566, genemark-NODE_135_length_24777_cov_11.2047_ID_269-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_135_length_24777_cov_11.2047_ID_269-processed-gene-0.20&CDS=1-1680, genemark-NODE_138_length_23047_cov_13.2944_ID_275-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_138_length_23047_cov_13.2944_ID_275-processed-gene-0.4&CDS=1-1608, genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.66&CDS=1-1464, genemark-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.83&CDS=1-1614, genemark-NODE_38_length_121218_cov_15.9074_ID_75-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_38_length_121218_cov_15.9074_ID_75-processed-gene-0.101&CDS=1-1485, genemark-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.35&CDS=1-1530, genemark-NODE_43_length_113857_cov_13.3362_ID_85-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_43_length_113857_cov_13.3362_ID_85-processed-gene-0.132&CDS=1-1551, genemark-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.74&CDS=1-1509, genemark-NODE_9_length_261673_cov_13.3741_ID_17-processed-gene-1.226-mRNA-1_1&gene=genemark-NODE_9_length_261673_cov_13.3741_ID_17-processed-gene-1.226&CDS=1-1782, maker-NODE_11_length_240857_cov_12.1525_ID_21-snap-gene-1.228-mRNA-1_1&gene=maker-NODE_11_length_240857_cov_12.1525_ID_21-snap-gene-1.228&CDS=1-3132
2	OG0000002	YPR194C	augustus_masked-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-NODE_39_length_120692_cov_12.2275_ID_77-processed-gene-0.165&CDS=1-2580, augustus_masked-NODE_9_length_261673_cov_13.3741_ID_17-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_9_length_261673_cov_13.3741_ID_17-processed-gene-1.115&CDS=1-2655, genemark-NODE_107_length_40338_cov_15.3986_ID_213-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_107_length_40338_cov_15.3986_ID_213-processed-gene-0.34&CDS=1-2610, genemark-NODE_110_length_37921_cov_15.5567_ID_219-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_110_length_37921_cov_15.5567_ID_219-processed-gene-0.7&CDS=1-2568, genemark-NODE_138_length_23047_cov_13.2944_ID_275-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_138_length_23047_cov_13.2944_ID_275-processed-gene-0.3&CDS=1-2565, genemark-NODE_145_length_15562_cov_16.6684_ID_289-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_145_length_15562_cov_16.6684_ID_289-processed-gene-0.13&CDS=1-2694, genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.175-mRNA-1_1&gene=genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.175&CDS=1-2643, genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.120&CDS=1-2574, genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.76&CDS=1-2673, genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.91&CDS=1-2580, genemark-NODE_50_length_98139_cov_11.6892_ID_99-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_50_length_98139_cov_11.6892_ID_99-processed-gene-0.2&CDS=1-2484, genemark-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.35&CDS=1-2742, genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-1.35-mRNA-1_1&gene=genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-1.35&CDS=1-2604
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.39-mRNA-1_1&gene=genemark-NODE_18_length_201582_cov_12.1594_ID_35-processed-gene-1.39&CDS=1-1737, genemark-NODE_22_length_171471_cov_11.5858_ID_43-processed-gene-0.190-mRNA-1_1&gene=genemark-NODE_22_length_171471_cov_11.5858_ID_43-processed-gene-0.190&CDS=1-1797, snap_masked-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.183-mRNA-1_1&gene=snap_masked-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.183&CDS=1-1788
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.25&CDS=1-1056, genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.38&CDS=1-1053, genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_47_length_106780_cov_11.904_ID_93-processed-gene-0.14&CDS=1-1041, genemark-NODE_49_length_103607_cov_12.4398_ID_97-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_49_length_103607_cov_12.4398_ID_97-processed-gene-0.15&CDS=1-1041, maker-NODE_11_length_240857_cov_12.1525_ID_21-snap-gene-1.229-mRNA-1_1&gene=maker-NODE_11_length_240857_cov_12.1525_ID_21-snap-gene-1.229&CDS=1-1053
5	OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_161_length_7536_cov_15.6271_ID_321-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_161_length_7536_cov_15.6271_ID_321-processed-gene-0.6&CDS=1-822, genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.99&CDS=1-582, genemark-NODE_32_length_132186_cov_12.7113_ID_63-processed-gene-0.196-mRNA-1_1&gene=genemark-NODE_32_length_132186_cov_12.7113_ID_63-processed-gene-0.196&CDS=1-1437
6	OG0000006	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_1_length_329478_cov_12.9878_ID_1-processed-gene-2.47&CDS=1-1764, genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_25_length_159049_cov_11.7145_ID_49-processed-gene-0.43&CDS=1-1779, genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.103&CDS=1-1746, snap_masked-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_78_length_64453_cov_13.4504_ID_155-processed-gene-0.63&CDS=1-1464
7	OG0000007	YDR242W	augustus_masked-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.59&CDS=1-1608, genemark-NODE_146_length_15176_cov_13.0463_ID_291-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_146_length_15176_cov_13.0463_ID_291-processed-gene-0.3&CDS=1-1629, genemark-NODE_21_length_174502_cov_14.6347_ID_41-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_21_length_174502_cov_14.6347_ID_41-processed-gene-0.121&CDS=1-1659, genemark-NODE_48_length_106024_cov_12.8149_ID_95-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_48_length_106024_cov_12.8149_ID_95-processed-gene-0.121&CDS=1-1656, genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.215-mRNA-1_1&gene=genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.215&CDS=1-1656, snap_masked-NODE_10_length_248695_cov_12.5105_ID_19-processed-gene-1.184-mRNA-1_1&gene=snap_masked-NODE_10_length_248695_cov_12.5105_ID_19-processed-gene-1.184&CDS=1-1644, snap_masked-NODE_48_length_106024_cov_12.8149_ID_95-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_48_length_106024_cov_12.8149_ID_95-processed-gene-0.23&CDS=1-1731
8	OG0000008	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_128_length_29530_cov_11.975_ID_255-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_128_length_29530_cov_11.975_ID_255-processed-gene-0.20&CDS=1-1998, genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_42_length_114289_cov_11.7125_ID_83-processed-gene-0.128&CDS=1-1803, snap_masked-NODE_49_length_103607_cov_12.4398_ID_97-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_49_length_103607_cov_12.4398_ID_97-processed-gene-0.123&CDS=1-3273
9	OG0000009	YBR240C	genemark-NODE_105_length_41571_cov_12.6022_ID_209-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_105_length_41571_cov_12.6022_ID_209-processed-gene-0.65&CDS=1-1650, genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.87&CDS=1-1737, snap_masked-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.171-mRNA-1_1&gene=snap_masked-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.171&CDS=1-780, snap_masked-NODE_28_length_144136_cov_11.9627_ID_55-processed-gene-0.150-mRNA-1_1&gene=snap_masked-NODE_28_length_144136_cov_11.9627_ID_55-processed-gene-0.150&CDS=1-1851, snap_masked-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_76_length_66447_cov_12.3715_ID_151-processed-gene-0.87&CDS=1-1845, snap_masked-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.10&CDS=1-540
