	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000035242_Zygoascus_ofunaensis@Seq_1	273_0	OG164616	yHMPu5000035242_Zygoascus_ofunaensis@Seq_1	snap_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.1-mRNA-1_1 gene=snap_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.1 CDS=1-693	gene=snap_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.1 CDS=1-693	yHMPu5000035242_Zygoascus_ofunaensis
1	yHMPu5000035242_Zygoascus_ofunaensis@Seq_2	273_1	OG2035	Saccharomyces_cerevisiae@YDR152W	genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.133-mRNA-1_1 gene=genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.133 CDS=1-741	gene=genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.133 CDS=1-741	yHMPu5000035242_Zygoascus_ofunaensis
2	yHMPu5000035242_Zygoascus_ofunaensis@Seq_3	273_2	OG1587	Saccharomyces_cerevisiae@YBL004W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.51-mRNA-1_1 gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.51 CDS=1-7803	gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.51 CDS=1-7803	yHMPu5000035242_Zygoascus_ofunaensis
3	yHMPu5000035242_Zygoascus_ofunaensis@Seq_4	273_3	OG3783	Saccharomyces_cerevisiae@YGR083C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.91-mRNA-1_1 gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.91 CDS=1-1389	gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.91 CDS=1-1389	yHMPu5000035242_Zygoascus_ofunaensis
4	yHMPu5000035242_Zygoascus_ofunaensis@Seq_5	273_4	OG1502	Saccharomyces_cerevisiae@YPL057C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-13.96-mRNA-1_1 gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-13.96 CDS=1-1044	gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-13.96 CDS=1-1044	yHMPu5000035242_Zygoascus_ofunaensis
5	yHMPu5000035242_Zygoascus_ofunaensis@Seq_6	273_5	OG2132	Saccharomyces_cerevisiae@YPL078C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.55-mRNA-1_1 gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.55 CDS=1-720	gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.55 CDS=1-720	yHMPu5000035242_Zygoascus_ofunaensis
6	yHMPu5000035242_Zygoascus_ofunaensis@Seq_7	273_6	OG1018	Saccharomyces_cerevisiae@YJL172W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.0-mRNA-1_1 gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.0 CDS=1-1749	gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.0 CDS=1-1749	yHMPu5000035242_Zygoascus_ofunaensis
7	yHMPu5000035242_Zygoascus_ofunaensis@Seq_8	273_7	OG13621	Sugiyamaella_lignohabitans@Seq_3913	snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-14.93-mRNA-1_1 gene=snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-14.93 CDS=1-1746	gene=snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-14.93 CDS=1-1746	yHMPu5000035242_Zygoascus_ofunaensis
8	yHMPu5000035242_Zygoascus_ofunaensis@Seq_9	273_8	OG146331	yHMPu5000035242_Zygoascus_ofunaensis@Seq_9	snap_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.5-mRNA-1_1 gene=snap_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.5 CDS=1-390	gene=snap_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.5 CDS=1-390	yHMPu5000035242_Zygoascus_ofunaensis
9	yHMPu5000035242_Zygoascus_ofunaensis@Seq_10	273_9	OG3590	Saccharomyces_cerevisiae@YJR093C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.253-mRNA-1_1 gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.253 CDS=1-834	gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.253 CDS=1-834	yHMPu5000035242_Zygoascus_ofunaensis
