	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000026197_Brettanomyces_custersianus@Seq_1	165_0	OG3966	Komagataella_pastoris@Seq_3570	genemark-flattened_line_30-processed-gene-0.51-mRNA-1_1 gene=genemark-flattened_line_30-processed-gene-0.51 CDS=1-1077	gene=genemark-flattened_line_30-processed-gene-0.51 CDS=1-1077	yHMPu5000026197_Brettanomyces_custersianus
1	yHMPu5000026197_Brettanomyces_custersianus@Seq_2	165_1	OG1502	Saccharomyces_cerevisiae@YPL057C	genemark-flattened_line_78-processed-gene-0.72-mRNA-1_1 gene=genemark-flattened_line_78-processed-gene-0.72 CDS=1-1014	gene=genemark-flattened_line_78-processed-gene-0.72 CDS=1-1014	yHMPu5000026197_Brettanomyces_custersianus
2	yHMPu5000026197_Brettanomyces_custersianus@Seq_3	165_2	OG5209	Hyphopichia_burtonii@Seq_2205	genemark-flattened_line_8-processed-gene-0.53-mRNA-1_1 gene=genemark-flattened_line_8-processed-gene-0.53 CDS=1-1089	gene=genemark-flattened_line_8-processed-gene-0.53 CDS=1-1089	yHMPu5000026197_Brettanomyces_custersianus
3	yHMPu5000026197_Brettanomyces_custersianus@Seq_4	165_3	OG7135	Komagataella_pastoris@Seq_2151	genemark-flattened_line_18-processed-gene-0.52-mRNA-1_1 gene=genemark-flattened_line_18-processed-gene-0.52 CDS=1-906	gene=genemark-flattened_line_18-processed-gene-0.52 CDS=1-906	yHMPu5000026197_Brettanomyces_custersianus
4	yHMPu5000026197_Brettanomyces_custersianus@Seq_5	165_4	OG3506	Saccharomyces_cerevisiae@YMR250W	genemark-flattened_line_26-processed-gene-1.256-mRNA-1_1 gene=genemark-flattened_line_26-processed-gene-1.256 CDS=1-1800	gene=genemark-flattened_line_26-processed-gene-1.256 CDS=1-1800	yHMPu5000026197_Brettanomyces_custersianus
5	yHMPu5000026197_Brettanomyces_custersianus@Seq_6	165_5	OG1745	Saccharomyces_cerevisiae@YGR047C	genemark-flattened_line_82-processed-gene-0.53-mRNA-1_1 gene=genemark-flattened_line_82-processed-gene-0.53 CDS=1-3309	gene=genemark-flattened_line_82-processed-gene-0.53 CDS=1-3309	yHMPu5000026197_Brettanomyces_custersianus
6	yHMPu5000026197_Brettanomyces_custersianus@Seq_7	165_6	OG2894	Saccharomyces_cerevisiae@YOR307C	augustus_masked-flattened_line_30-processed-gene-1.80-mRNA-1_1 gene=augustus_masked-flattened_line_30-processed-gene-1.80 CDS=1-1368	gene=augustus_masked-flattened_line_30-processed-gene-1.80 CDS=1-1368	yHMPu5000026197_Brettanomyces_custersianus
7	yHMPu5000026197_Brettanomyces_custersianus@Seq_8	165_7	OG8364	yHMPu5000034952_Citeromyces_siamensis@Seq_3367	genemark-flattened_line_38-processed-gene-0.77-mRNA-1_1 gene=genemark-flattened_line_38-processed-gene-0.77 CDS=1-699	gene=genemark-flattened_line_38-processed-gene-0.77 CDS=1-699	yHMPu5000026197_Brettanomyces_custersianus
8	yHMPu5000026197_Brettanomyces_custersianus@Seq_9	165_8	OG27457	yHMPu5000034754_Lipomyces_arxii@Seq_7320	genemark-flattened_line_122-processed-gene-0.2-mRNA-1_1 gene=genemark-flattened_line_122-processed-gene-0.2 CDS=1-498	gene=genemark-flattened_line_122-processed-gene-0.2 CDS=1-498	yHMPu5000026197_Brettanomyces_custersianus
9	yHMPu5000026197_Brettanomyces_custersianus@Seq_10	165_9	OG3829	Metschnikowia_hawaiiensis@Seq_586	genemark-flattened_line_10-processed-gene-3.61-mRNA-1_1 gene=genemark-flattened_line_10-processed-gene-3.61 CDS=1-1536	gene=genemark-flattened_line_10-processed-gene-3.61 CDS=1-1536	yHMPu5000026197_Brettanomyces_custersianus
10	yHMPu5000026197_Brettanomyces_custersianus@Seq_11	165_10	OG2252	Saccharomyces_cerevisiae@YDL064W	genemark-flattened_line_18-processed-gene-2.89-mRNA-1_1 gene=genemark-flattened_line_18-processed-gene-2.89 CDS=1-483	gene=genemark-flattened_line_18-processed-gene-2.89 CDS=1-483	yHMPu5000026197_Brettanomyces_custersianus
11	yHMPu5000026197_Brettanomyces_custersianus@Seq_12	165_11	OG5015	Saccharomyces_cerevisiae@YIR001C	genemark-flattened_line_10-processed-gene-1.151-mRNA-1_1 gene=genemark-flattened_line_10-processed-gene-1.151 CDS=1-573	gene=genemark-flattened_line_10-processed-gene-1.151 CDS=1-573	yHMPu5000026197_Brettanomyces_custersianus
12	yHMPu5000026197_Brettanomyces_custersianus@Seq_13	165_12	OG4420	Starmerella_bombicola_JCM9596@Seq_1074	genemark-flattened_line_8-processed-gene-2.55-mRNA-1_1 gene=genemark-flattened_line_8-processed-gene-2.55 CDS=1-2181	gene=genemark-flattened_line_8-processed-gene-2.55 CDS=1-2181	yHMPu5000026197_Brettanomyces_custersianus
13	yHMPu5000026197_Brettanomyces_custersianus@Seq_14	165_13	OG1367	Saccharomyces_cerevisiae@YJL005W	genemark-flattened_line_6-processed-gene-0.68-mRNA-1_1 gene=genemark-flattened_line_6-processed-gene-0.68 CDS=1-5424	gene=genemark-flattened_line_6-processed-gene-0.68 CDS=1-5424	yHMPu5000026197_Brettanomyces_custersianus
14	yHMPu5000026197_Brettanomyces_custersianus@Seq_15	165_14	OG2242	Saccharomyces_cerevisiae@YDR211W	genemark-flattened_line_0-processed-gene-6.82-mRNA-1_1 gene=genemark-flattened_line_0-processed-gene-6.82 CDS=1-2196	gene=genemark-flattened_line_0-processed-gene-6.82 CDS=1-2196	yHMPu5000026197_Brettanomyces_custersianus
15	yHMPu5000026197_Brettanomyces_custersianus@Seq_16	165_15	OG197473	yHMPu5000026197_Brettanomyces_custersianus@Seq_16	snap_masked-flattened_line_2-processed-gene-0.21-mRNA-1_1 gene=snap_masked-flattened_line_2-processed-gene-0.21 CDS=1-2163	gene=snap_masked-flattened_line_2-processed-gene-0.21 CDS=1-2163	yHMPu5000026197_Brettanomyces_custersianus
16	yHMPu5000026197_Brettanomyces_custersianus@Seq_17	165_16	OG4497	Hyphopichia_burtonii@Seq_1118	genemark-flattened_line_20-processed-gene-0.39-mRNA-1_1 gene=genemark-flattened_line_20-processed-gene-0.39 CDS=1-486	gene=genemark-flattened_line_20-processed-gene-0.39 CDS=1-486	yHMPu5000026197_Brettanomyces_custersianus
17	yHMPu5000026197_Brettanomyces_custersianus@Seq_18	165_17	OG1564	Saccharomyces_cerevisiae@YIL099W	genemark-flattened_line_20-processed-gene-1.97-mRNA-1_1 gene=genemark-flattened_line_20-processed-gene-1.97 CDS=1-1638	gene=genemark-flattened_line_20-processed-gene-1.97 CDS=1-1638	yHMPu5000026197_Brettanomyces_custersianus
