	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000034614_Saturnispora_silvae@Seq_1	178_0	OG16639	yHMPu5000034615_Saturnispora_zaruensis@Seq_3668	snap_masked-NODE_22_length_173672_cov_17.4769_ID_43-processed-gene-0.1-mRNA-1_1 gene=snap_masked-NODE_22_length_173672_cov_17.4769_ID_43-processed-gene-0.1 CDS=1-1956	gene=snap_masked-NODE_22_length_173672_cov_17.4769_ID_43-processed-gene-0.1 CDS=1-1956	yHMPu5000034614_Saturnispora_silvae
1	yHMPu5000034614_Saturnispora_silvae@Seq_2	178_1	OG3939	Saccharomyces_cerevisiae@YNL234W	snap_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-0.123-mRNA-1_1 gene=snap_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-0.123 CDS=1-999	gene=snap_masked-NODE_10_length_318247_cov_16.2764_ID_19-processed-gene-0.123 CDS=1-999	yHMPu5000034614_Saturnispora_silvae
2	yHMPu5000034614_Saturnispora_silvae@Seq_3	178_2	OG5183	Kuraishia_capsulata@Seq_1112	snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-6.136-mRNA-1_1 gene=snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-6.136 CDS=1-1359	gene=snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-6.136 CDS=1-1359	yHMPu5000034614_Saturnispora_silvae
3	yHMPu5000034614_Saturnispora_silvae@Seq_4	178_3	OG5329	Metschnikowia_matae_maris@Seq_1662	genemark-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-6.116-mRNA-1_1 gene=genemark-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-6.116 CDS=1-699	gene=genemark-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-6.116 CDS=1-699	yHMPu5000034614_Saturnispora_silvae
4	yHMPu5000034614_Saturnispora_silvae@Seq_5	178_4	OG28270	yHMPu5000035659_Saturnispora_dispora@Seq_1053	snap_masked-NODE_14_length_287767_cov_18.6596_ID_27-processed-gene-0.102-mRNA-1_1 gene=snap_masked-NODE_14_length_287767_cov_18.6596_ID_27-processed-gene-0.102 CDS=1-423	gene=snap_masked-NODE_14_length_287767_cov_18.6596_ID_27-processed-gene-0.102 CDS=1-423	yHMPu5000034614_Saturnispora_silvae
5	yHMPu5000034614_Saturnispora_silvae@Seq_6	178_5	OG6222	Candida_boidinii_JCM9604@Seq_4389	snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-1.62-mRNA-1_1 gene=snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-1.62 CDS=1-2025	gene=snap_masked-NODE_3_length_777224_cov_15.983_ID_5-processed-gene-1.62 CDS=1-2025	yHMPu5000034614_Saturnispora_silvae
6	yHMPu5000034614_Saturnispora_silvae@Seq_7	178_6	OG1563	Saccharomyces_cerevisiae@YJL155C	snap_masked-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-7.79-mRNA-1_1 gene=snap_masked-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-7.79 CDS=1-1281	gene=snap_masked-NODE_2_length_802642_cov_16.2871_ID_3-processed-gene-7.79 CDS=1-1281	yHMPu5000034614_Saturnispora_silvae
7	yHMPu5000034614_Saturnispora_silvae@Seq_8	178_7	OG4264	Saccharomyces_cerevisiae@YDR286C	snap_masked-NODE_17_length_251202_cov_17.9139_ID_33-processed-gene-0.104-mRNA-1_1 gene=snap_masked-NODE_17_length_251202_cov_17.9139_ID_33-processed-gene-0.104 CDS=1-324	gene=snap_masked-NODE_17_length_251202_cov_17.9139_ID_33-processed-gene-0.104 CDS=1-324	yHMPu5000034614_Saturnispora_silvae
8	yHMPu5000034614_Saturnispora_silvae@Seq_9	178_8	OG1290	Saccharomyces_cerevisiae@YPL081W	maker-NODE_21_length_187636_cov_18.2367_ID_41-snap-gene-0.279-mRNA-1_1 gene=maker-NODE_21_length_187636_cov_18.2367_ID_41-snap-gene-0.279 CDS=1-975	gene=maker-NODE_21_length_187636_cov_18.2367_ID_41-snap-gene-0.279 CDS=1-975	yHMPu5000034614_Saturnispora_silvae
9	yHMPu5000034614_Saturnispora_silvae@Seq_10	178_9	OG2561	Saccharomyces_cerevisiae@YDL165W	snap_masked-NODE_20_length_198128_cov_16.8048_ID_39-processed-gene-0.65-mRNA-1_1 gene=snap_masked-NODE_20_length_198128_cov_16.8048_ID_39-processed-gene-0.65 CDS=1-726	gene=snap_masked-NODE_20_length_198128_cov_16.8048_ID_39-processed-gene-0.65 CDS=1-726	yHMPu5000034614_Saturnispora_silvae
