	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000034643_Candida_schatavii@Seq_1	191_0	OG2840	Saccharomyces_cerevisiae@YMR035W	augustus_masked-flattened_line_54-processed-gene-0.24-mRNA-1_1 gene=augustus_masked-flattened_line_54-processed-gene-0.24 CDS=1-513	gene=augustus_masked-flattened_line_54-processed-gene-0.24 CDS=1-513	yHMPu5000034643_Candida_schatavii
1	yHMPu5000034643_Candida_schatavii@Seq_2	191_1	OG1326	Saccharomyces_cerevisiae@YGL056C	augustus_masked-flattened_line_25-processed-gene-2.187-mRNA-1_1 gene=augustus_masked-flattened_line_25-processed-gene-2.187 CDS=1-1623	gene=augustus_masked-flattened_line_25-processed-gene-2.187 CDS=1-1623	yHMPu5000034643_Candida_schatavii
2	yHMPu5000034643_Candida_schatavii@Seq_3	191_2	OG7194	yHMPu5000035640_Yamadazyma_philogaea@Seq_4159	augustus_masked-flattened_line_4-processed-gene-1.51-mRNA-1_1 gene=augustus_masked-flattened_line_4-processed-gene-1.51 CDS=1-1911	gene=augustus_masked-flattened_line_4-processed-gene-1.51 CDS=1-1911	yHMPu5000034643_Candida_schatavii
3	yHMPu5000034643_Candida_schatavii@Seq_4	191_3	OG1145	Saccharomyces_cerevisiae@YJR009C	augustus_masked-flattened_line_25-processed-gene-2.149-mRNA-1_1 gene=augustus_masked-flattened_line_25-processed-gene-2.149 CDS=1-1002	gene=augustus_masked-flattened_line_25-processed-gene-2.149 CDS=1-1002	yHMPu5000034643_Candida_schatavii
4	yHMPu5000034643_Candida_schatavii@Seq_5	191_4	OG6735	yHMPu5000034643_Candida_schatavii@Seq_2636	augustus_masked-flattened_line_184-processed-gene-0.1-mRNA-1_1 gene=augustus_masked-flattened_line_184-processed-gene-0.1 CDS=1-3162	gene=augustus_masked-flattened_line_184-processed-gene-0.1 CDS=1-3162	yHMPu5000034643_Candida_schatavii
5	yHMPu5000034643_Candida_schatavii@Seq_6	191_5	OG2134	Saccharomyces_cerevisiae@YKL078W	snap_masked-flattened_line_0-processed-gene-4.24-mRNA-1_1 gene=snap_masked-flattened_line_0-processed-gene-4.24 CDS=1-2313	gene=snap_masked-flattened_line_0-processed-gene-4.24 CDS=1-2313	yHMPu5000034643_Candida_schatavii
6	yHMPu5000034643_Candida_schatavii@Seq_7	191_6	OG3379	Saccharomyces_cerevisiae@YKR082W	augustus_masked-flattened_line_29-processed-gene-2.4-mRNA-1_1 gene=augustus_masked-flattened_line_29-processed-gene-2.4 CDS=1-3480	gene=augustus_masked-flattened_line_29-processed-gene-2.4 CDS=1-3480	yHMPu5000034643_Candida_schatavii
7	yHMPu5000034643_Candida_schatavii@Seq_8	191_7	OG5304	Meyerozyma_guilliermondii@Seq_3048	augustus_masked-flattened_line_46-processed-gene-1.113-mRNA-1_1 gene=augustus_masked-flattened_line_46-processed-gene-1.113 CDS=1-744	gene=augustus_masked-flattened_line_46-processed-gene-1.113 CDS=1-744	yHMPu5000034643_Candida_schatavii
8	yHMPu5000034643_Candida_schatavii@Seq_9	191_8	OG2206	Saccharomyces_cerevisiae@YMR203W	augustus_masked-flattened_line_6-processed-gene-2.105-mRNA-1_1 gene=augustus_masked-flattened_line_6-processed-gene-2.105 CDS=1-1170	gene=augustus_masked-flattened_line_6-processed-gene-2.105 CDS=1-1170	yHMPu5000034643_Candida_schatavii
9	yHMPu5000034643_Candida_schatavii@Seq_10	191_9	OG93137	yHMPu5000034643_Candida_schatavii@Seq_10	augustus_masked-flattened_line_32-processed-gene-0.16-mRNA-1_1 gene=augustus_masked-flattened_line_32-processed-gene-0.16 CDS=1-1227	gene=augustus_masked-flattened_line_32-processed-gene-0.16 CDS=1-1227	yHMPu5000034643_Candida_schatavii
10	yHMPu5000034643_Candida_schatavii@Seq_11	191_10	OG1769	Saccharomyces_cerevisiae@YER068W	maker-flattened_line_12-augustus-gene-3.120-mRNA-1_1 gene=maker-flattened_line_12-augustus-gene-3.120 CDS=1-2148	gene=maker-flattened_line_12-augustus-gene-3.120 CDS=1-2148	yHMPu5000034643_Candida_schatavii
11	yHMPu5000034643_Candida_schatavii@Seq_12	191_11	OG1380	Saccharomyces_cerevisiae@YDL239C	augustus_masked-flattened_line_10-processed-gene-3.93-mRNA-1_1 gene=augustus_masked-flattened_line_10-processed-gene-3.93 CDS=1-1539	gene=augustus_masked-flattened_line_10-processed-gene-3.93 CDS=1-1539	yHMPu5000034643_Candida_schatavii
12	yHMPu5000034643_Candida_schatavii@Seq_13	191_12	OG3656	Saccharomyces_cerevisiae@YOR188W	augustus_masked-flattened_line_6-processed-gene-2.90-mRNA-1_1 gene=augustus_masked-flattened_line_6-processed-gene-2.90 CDS=1-3618	gene=augustus_masked-flattened_line_6-processed-gene-2.90 CDS=1-3618	yHMPu5000034643_Candida_schatavii
13	yHMPu5000034643_Candida_schatavii@Seq_14	191_13	OG4451	Saccharomyces_cerevisiae@YMR258C	snap_masked-flattened_line_56-processed-gene-0.15-mRNA-1_1 gene=snap_masked-flattened_line_56-processed-gene-0.15 CDS=1-1860	gene=snap_masked-flattened_line_56-processed-gene-0.15 CDS=1-1860	yHMPu5000034643_Candida_schatavii
14	yHMPu5000034643_Candida_schatavii@Seq_15	191_14	OG1707	Saccharomyces_cerevisiae@YAL042W	augustus_masked-flattened_line_0-processed-gene-3.67-mRNA-1_1 gene=augustus_masked-flattened_line_0-processed-gene-3.67 CDS=1-1275	gene=augustus_masked-flattened_line_0-processed-gene-3.67 CDS=1-1275	yHMPu5000034643_Candida_schatavii
15	yHMPu5000034643_Candida_schatavii@Seq_16	191_15	OG2878	Saccharomyces_cerevisiae@YGR246C	augustus_masked-flattened_line_21-processed-gene-2.19-mRNA-1_1 gene=augustus_masked-flattened_line_21-processed-gene-2.19 CDS=1-1722	gene=augustus_masked-flattened_line_21-processed-gene-2.19 CDS=1-1722	yHMPu5000034643_Candida_schatavii
16	yHMPu5000034643_Candida_schatavii@Seq_17	191_16	OG5510	yHMPu5000034742_Lipomyces_suomiensis@Seq_3093	augustus_masked-flattened_line_2-processed-gene-3.97-mRNA-1_1 gene=augustus_masked-flattened_line_2-processed-gene-3.97 CDS=1-1065	gene=augustus_masked-flattened_line_2-processed-gene-3.97 CDS=1-1065	yHMPu5000034643_Candida_schatavii
17	yHMPu5000034643_Candida_schatavii@Seq_18	191_17	OG2269	Saccharomyces_cerevisiae@YER110C	augustus_masked-flattened_line_2-processed-gene-0.102-mRNA-1_1 gene=augustus_masked-flattened_line_2-processed-gene-0.102 CDS=1-3387	gene=augustus_masked-flattened_line_2-processed-gene-0.102 CDS=1-3387	yHMPu5000034643_Candida_schatavii
18	yHMPu5000034643_Candida_schatavii@Seq_19	191_18	OG148188	yHMPu5000034643_Candida_schatavii@Seq_19	snap_masked-flattened_line_132-processed-gene-0.28-mRNA-1_1 gene=snap_masked-flattened_line_132-processed-gene-0.28 CDS=1-273	gene=snap_masked-flattened_line_132-processed-gene-0.28 CDS=1-273	yHMPu5000034643_Candida_schatavii
19	yHMPu5000034643_Candida_schatavii@Seq_20	191_19	OG1507	Saccharomyces_cerevisiae@YNL036W	augustus_masked-flattened_line_4-processed-gene-0.23-mRNA-1_1 gene=augustus_masked-flattened_line_4-processed-gene-0.23 CDS=1-843	gene=augustus_masked-flattened_line_4-processed-gene-0.23 CDS=1-843	yHMPu5000034643_Candida_schatavii
20	yHMPu5000034643_Candida_schatavii@Seq_21	191_20	OG2611	Saccharomyces_cerevisiae@YNL139C	augustus_masked-flattened_line_60-processed-gene-0.83-mRNA-1_1 gene=augustus_masked-flattened_line_60-processed-gene-0.83 CDS=1-4971	gene=augustus_masked-flattened_line_60-processed-gene-0.83 CDS=1-4971	yHMPu5000034643_Candida_schatavii
21	yHMPu5000034643_Candida_schatavii@Seq_22	191_21	OG6321	yHMPu5000035677_Kodamaea_ohmeri@Seq_1461	snap_masked-flattened_line_29-processed-gene-2.183-mRNA-1_1 gene=snap_masked-flattened_line_29-processed-gene-2.183 CDS=1-747	gene=snap_masked-flattened_line_29-processed-gene-2.183 CDS=1-747	yHMPu5000034643_Candida_schatavii
22	yHMPu5000034643_Candida_schatavii@Seq_23	191_22	OG4677	yHMPu5000035691_Candida_salmanticensis@Seq_74	augustus_masked-flattened_line_2-processed-gene-3.113-mRNA-1_1 gene=augustus_masked-flattened_line_2-processed-gene-3.113 CDS=1-1017	gene=augustus_masked-flattened_line_2-processed-gene-3.113 CDS=1-1017	yHMPu5000034643_Candida_schatavii
