	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034748_Lipomyces_oligophaga
0	OG0000000	YDR536W, YFL040W	augustus_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-3.20&CDS=1-1599, augustus_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-2.24&CDS=1-1569, augustus_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.176-mRNA-1_1&gene=augustus_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.176&CDS=1-1665, maker-NODE_18_length_13644_cov_24.6279_ID_35-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_18_length_13644_cov_24.6279_ID_35-snap-gene-0.9&CDS=1-1662, maker-NODE_4_length_1392634_cov_25.4388_ID_7-snap-gene-11.157-mRNA-1_1&gene=maker-NODE_4_length_1392634_cov_25.4388_ID_7-snap-gene-11.157&CDS=1-1665, maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-10.45-mRNA-1_1&gene=maker-NODE_5_length_1291908_cov_25.0437_ID_9-snap-gene-10.45&CDS=1-1755, maker-NODE_6_length_1161583_cov_24.6584_ID_11-augustus-gene-10.71-mRNA-1_1&gene=maker-NODE_6_length_1161583_cov_24.6584_ID_11-augustus-gene-10.71&CDS=1-1689, maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-8.57-mRNA-1_1&gene=maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-8.57&CDS=1-1638, snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.66&CDS=1-1734, snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.91&CDS=1-1539, snap_masked-NODE_12_length_340936_cov_24.8538_ID_23-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NODE_12_length_340936_cov_24.8538_ID_23-processed-gene-1.4&CDS=1-1683, snap_masked-NODE_13_length_191982_cov_25.1951_ID_25-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_13_length_191982_cov_25.1951_ID_25-processed-gene-0.8&CDS=1-1755, snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-3.106-mRNA-1_1&gene=snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-3.106&CDS=1-1590, snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-14.90-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-14.90&CDS=1-1572, snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-2.141-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-2.141&CDS=1-1554, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.99-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.99&CDS=1-1710, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-6.78&CDS=1-1704
1	OG0000001	YBR240C, YDL170W	augustus_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.143&CDS=1-837, augustus_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-2.6&CDS=1-1800, augustus_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-14.10-mRNA-1_1&gene=augustus_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-14.10&CDS=1-1863, augustus_masked-NODE_7_length_759464_cov_25.2552_ID_13-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NODE_7_length_759464_cov_25.2552_ID_13-processed-gene-6.30&CDS=1-1176, augustus_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-3.108&CDS=1-1950, maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-5.91-mRNA-1_1&gene=maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-5.91&CDS=1-1146, snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-0.87&CDS=1-471, snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.67&CDS=1-960, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-12.86-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-12.86&CDS=1-2763, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.79-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.79&CDS=1-1233, snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-11.304-mRNA-1_1&gene=snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-11.304&CDS=1-2094, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-2.110-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-2.110&CDS=1-1326, snap_masked-NODE_8_length_612213_cov_24.9474_ID_15-processed-gene-5.100-mRNA-1_1&gene=snap_masked-NODE_8_length_612213_cov_24.9474_ID_15-processed-gene-5.100&CDS=1-2277, snap_masked-NODE_8_length_612213_cov_24.9474_ID_15-processed-gene-5.97-mRNA-1_1&gene=snap_masked-NODE_8_length_612213_cov_24.9474_ID_15-processed-gene-5.97&CDS=1-2244
2	OG0000002	YPR194C	augustus_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-4.282-mRNA-1_1&gene=augustus_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-4.282&CDS=1-2619, augustus_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-0.89&CDS=1-2589, maker-NODE_2_length_1995911_cov_28.209_ID_3-snap-gene-16.115-mRNA-1_1&gene=maker-NODE_2_length_1995911_cov_28.209_ID_3-snap-gene-16.115&CDS=1-2607, snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.35&CDS=1-2565, snap_masked-NODE_12_length_340936_cov_24.8538_ID_23-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_12_length_340936_cov_24.8538_ID_23-processed-gene-0.2&CDS=1-2598, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-0.1&CDS=1-2586, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-0.19&CDS=1-2580, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.78-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.78&CDS=1-2571, snap_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-8.72-mRNA-1_1&gene=snap_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-8.72&CDS=1-2568, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.162-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.162&CDS=1-2562, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-7.68-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-7.68&CDS=1-2667, snap_masked-NODE_7_length_759464_cov_25.2552_ID_13-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NODE_7_length_759464_cov_25.2552_ID_13-processed-gene-2.38&CDS=1-2583
3	OG0000003	YCR028C	augustus_masked-NODE_12_length_340936_cov_24.8538_ID_23-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-NODE_12_length_340936_cov_24.8538_ID_23-processed-gene-1.149&CDS=1-1533, maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-1.120-mRNA-1_1&gene=maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-1.120&CDS=1-1737, maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.81-mRNA-1_1&gene=maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.81&CDS=1-1704, maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.82-mRNA-1_1&gene=maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.82&CDS=1-3351, maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.94-mRNA-1_1&gene=maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.94&CDS=1-1731, maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.98-mRNA-1_1&gene=maker-NODE_12_length_340936_cov_24.8538_ID_23-snap-gene-2.98&CDS=1-1608, maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-4.46-mRNA-1_1&gene=maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-4.46&CDS=1-1605, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-2.39-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-2.39&CDS=1-1665, snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-2.135&CDS=1-1668, snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-4.41&CDS=1-1677
4	OG0000004	YBL042C, YBR021W, YIR028W	maker-NODE_3_length_1505111_cov_24.9435_ID_5-augustus-gene-3.69-mRNA-1_1&gene=maker-NODE_3_length_1505111_cov_24.9435_ID_5-augustus-gene-3.69&CDS=1-1683, maker-NODE_6_length_1161583_cov_24.6584_ID_11-augustus-gene-5.148-mRNA-1_1&gene=maker-NODE_6_length_1161583_cov_24.6584_ID_11-augustus-gene-5.148&CDS=1-1686, maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.201-mRNA-1_1&gene=maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.201&CDS=1-1677, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-16.106-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-16.106&CDS=1-1662, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-16.109-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-16.109&CDS=1-1713, snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-4.38-mRNA-1_1&gene=snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-4.38&CDS=1-1695, snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-4.39&CDS=1-1680
5	OG0000005	YBR293W, YMR088C	snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NODE_10_length_547460_cov_24.7089_ID_19-processed-gene-4.39&CDS=1-1632, snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.28&CDS=1-1677, snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NODE_11_length_459259_cov_25.0738_ID_21-processed-gene-3.9&CDS=1-1710, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-18.53-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-18.53&CDS=1-1713, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.69-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.69&CDS=1-1656, snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-13.93-mRNA-1_1&gene=snap_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-13.93&CDS=1-1926, snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-2.15&CDS=1-1869, snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.157-mRNA-1_1&gene=snap_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-10.157&CDS=1-1689
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-NODE_3_length_1505111_cov_24.9435_ID_5-processed-gene-5.33&CDS=1-2040, augustus_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-2.115&CDS=1-2232, maker-NODE_1_length_2488267_cov_24.9357_ID_1-snap-gene-7.151-mRNA-1_1&gene=maker-NODE_1_length_2488267_cov_24.9357_ID_1-snap-gene-7.151&CDS=1-3633, snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-1.77&CDS=1-2109
7	OG0000007	YDR242W	maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.184-mRNA-1_1&gene=maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.184&CDS=1-1635, maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.196-mRNA-1_1&gene=maker-NODE_9_length_547499_cov_24.6718_ID_17-snap-gene-4.196&CDS=1-1692, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.46-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-23.46&CDS=1-1671, snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-3.17&CDS=1-1626, snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-0.27&CDS=1-1653, snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-7.146-mRNA-1_1&gene=snap_masked-NODE_2_length_1995911_cov_28.209_ID_3-processed-gene-7.146&CDS=1-1617
8	OG0000008	YIL130W, YMR280C	augustus_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-NODE_6_length_1161583_cov_24.6584_ID_11-processed-gene-7.24&CDS=1-3402, augustus_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NODE_9_length_547499_cov_24.6718_ID_17-processed-gene-3.121&CDS=1-3045, maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-6.66-mRNA-1_1&gene=maker-NODE_6_length_1161583_cov_24.6584_ID_11-snap-gene-6.66&CDS=1-2658, maker-NODE_8_length_612213_cov_24.9474_ID_15-snap-gene-5.82-mRNA-1_1&gene=maker-NODE_8_length_612213_cov_24.9474_ID_15-snap-gene-5.82&CDS=1-3405, snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-8.137-mRNA-1_1&gene=snap_masked-NODE_5_length_1291908_cov_25.0437_ID_9-processed-gene-8.137&CDS=1-3432
9	OG0000009	YNL284C, YPL064C	augustus_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-22.151-mRNA-1_1&gene=augustus_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-22.151&CDS=1-2139, augustus_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NODE_1_length_2488267_cov_24.9357_ID_1-processed-gene-5.23&CDS=1-468, maker-NODE_16_length_50536_cov_25.5797_ID_31-snap-gene-0.71-mRNA-1_1&gene=maker-NODE_16_length_50536_cov_25.5797_ID_31-snap-gene-0.71&CDS=1-483, maker-NODE_1_length_2488267_cov_24.9357_ID_1-augustus-gene-13.13-mRNA-1_1&gene=maker-NODE_1_length_2488267_cov_24.9357_ID_1-augustus-gene-13.13&CDS=1-1926, snap_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-10.3-mRNA-1_1&gene=snap_masked-NODE_4_length_1392634_cov_25.4388_ID_7-processed-gene-10.3&CDS=1-1485
