	OrthologID	Saccharomyces_cerevisiae	yHAB166_Kazachstania_yakushimaensis
0	OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-scf7180000044576-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000044576-processed-gene-0.57&CDS=1-585, augustus_masked-scf7180000044576-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000044576-processed-gene-0.58&CDS=1-555
1	OG0000001	YAR010C, YBL005W-A, YDR170W-A, YDR261C-C, YDR365W-A, YER137C-A, YGR027W-A, YGR038C-A, YJR026W, YJR028W, YLR157C-A, YLR227W-A, YLR256W-A, YML040W, YMR046C, YNL054W-A, YNL284C-A, YPL257W-A, YPR137C-A, YPR158C-C	
2	OG0000002	YDR345C, YHR092C, YHR094C, YNL318C	augustus_masked-scf7180000044481-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000044481-processed-gene-0.4&CDS=1-1647, augustus_masked-scf7180000044481-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000044481-processed-gene-0.5&CDS=1-1617, augustus_masked-scf7180000044558-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000044558-processed-gene-0.11&CDS=1-1743, augustus_masked-scf7180000044574-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-scf7180000044574-processed-gene-1.164&CDS=1-2142, augustus_masked-scf7180000044631-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-scf7180000044631-processed-gene-1.179&CDS=1-1689, augustus_masked-scf7180000044634-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000044634-processed-gene-0.24&CDS=1-1647, augustus_masked-scf7180000044640-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-0.97&CDS=1-1674, genemark-scf7180000044639-processed-gene-1.86-mRNA-1_1&gene=genemark-scf7180000044639-processed-gene-1.86&CDS=1-1668
3	OG0000003		augustus_masked-scf7180000043783-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000043783-processed-gene-0.0&CDS=1-2406, augustus_masked-scf7180000044472-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044472-processed-gene-0.1&CDS=1-1110, augustus_masked-scf7180000044495-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044495-processed-gene-0.1&CDS=1-1182, augustus_masked-scf7180000044520-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044520-processed-gene-0.0&CDS=1-1758, augustus_masked-scf7180000044563-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044563-processed-gene-0.0&CDS=1-696, augustus_masked-scf7180000044572-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044572-processed-gene-0.0&CDS=1-1032, augustus_masked-scf7180000044617-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-scf7180000044617-processed-gene-0.112&CDS=1-4587, augustus_masked-scf7180000044626-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000044626-processed-gene-0.25&CDS=1-1251, augustus_masked-scf7180000044627-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-scf7180000044627-processed-gene-4.63&CDS=1-1155, augustus_masked-scf7180000044645-processed-gene-4.157-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-4.157&CDS=1-2085, snap_masked-scf7180000044499-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000044499-processed-gene-0.2&CDS=1-270, snap_masked-scf7180000044511-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000044511-processed-gene-0.2&CDS=1-1005
4	OG0000004		augustus_masked-scf7180000044494-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044494-processed-gene-0.0&CDS=1-597, augustus_masked-scf7180000044574-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-scf7180000044574-processed-gene-1.199&CDS=1-621, augustus_masked-scf7180000044617-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000044617-processed-gene-0.114&CDS=1-489, augustus_masked-scf7180000044624-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000044624-processed-gene-0.1&CDS=1-1767, augustus_masked-scf7180000044626-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000044626-processed-gene-0.18&CDS=1-2250, snap_masked-scf7180000044579-processed-gene-0.107-mRNA-1_1&gene=snap_masked-scf7180000044579-processed-gene-0.107&CDS=1-255, snap_masked-scf7180000044596-processed-gene-1.86-mRNA-1_1&gene=snap_masked-scf7180000044596-processed-gene-1.86&CDS=1-387, snap_masked-scf7180000044623-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000044623-processed-gene-0.41&CDS=1-270, snap_masked-scf7180000044623-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000044623-processed-gene-0.42&CDS=1-480, snap_masked-scf7180000044628-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000044628-processed-gene-0.15&CDS=1-2304, snap_masked-scf7180000044635-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000044635-processed-gene-0.3&CDS=1-198
5	OG0000005	YBL100W-A, YCL020W, YDR034C-C, YDR210W-A, YDR261W-A, YFL002W-B, YGR161W-A, YLR410W-A, YOR192C-A, YOR343W-A	
6	OG0000006	YIL101C	augustus_masked-scf7180000044596-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-1.0&CDS=1-2415, augustus_masked-scf7180000044647-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-scf7180000044647-processed-gene-2.63&CDS=1-3066, augustus_masked-scf7180000044647-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-scf7180000044647-processed-gene-2.64&CDS=1-2430, genemark-scf7180000044647-processed-gene-2.103-mRNA-1_1&gene=genemark-scf7180000044647-processed-gene-2.103&CDS=1-1944, genemark-scf7180000044647-processed-gene-2.89-mRNA-1_1&gene=genemark-scf7180000044647-processed-gene-2.89&CDS=1-2445, maker-scf7180000044647-snap-gene-2.81-mRNA-1_1&gene=maker-scf7180000044647-snap-gene-2.81&CDS=1-2661, snap_masked-scf7180000044611-processed-gene-3.139-mRNA-1_1&gene=snap_masked-scf7180000044611-processed-gene-3.139&CDS=1-2577, snap_masked-scf7180000044647-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scf7180000044647-processed-gene-2.18&CDS=1-2745
7	OG0000007	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-scf7180000044621-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000044621-processed-gene-0.6&CDS=1-711, augustus_masked-scf7180000044621-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000044621-processed-gene-0.8&CDS=1-711, augustus_masked-scf7180000044632-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000044632-processed-gene-0.17&CDS=1-711, augustus_masked-scf7180000044639-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000044639-processed-gene-0.87&CDS=1-711
8	OG0000008		augustus_masked-scf7180000044596-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-0.18&CDS=1-2244, augustus_masked-scf7180000044596-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-scf7180000044596-processed-gene-1.16&CDS=1-1929, augustus_masked-scf7180000044613-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000044613-processed-gene-0.40&CDS=1-735, augustus_masked-scf7180000044616-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000044616-processed-gene-0.42&CDS=1-1152, augustus_masked-scf7180000044627-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-scf7180000044627-processed-gene-1.57&CDS=1-1353, augustus_masked-scf7180000044627-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-scf7180000044627-processed-gene-4.41&CDS=1-2106, augustus_masked-scf7180000044645-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-4.136&CDS=1-1782, snap_masked-scf7180000043791-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000043791-processed-gene-0.0&CDS=1-282
9	OG0000009	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	snap_masked-scf7180000044596-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000044596-processed-gene-0.55&CDS=1-3615
