	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	Eremothecium_gossypii@Seq_1	40_0	OG27167	Eremothecium_coryli@Seq_4192	augustus_masked-AE016816-processed-gene-2.39-mRNA-1_1 gene=augustus_masked-AE016816-processed-gene-2.39 CDS=1-339	gene=augustus_masked-AE016816-processed-gene-2.39 CDS=1-339	Eremothecium_gossypii
1	Eremothecium_gossypii@Seq_2	40_1	OG4143	Metschnikowia_matae@Seq_6796	augustus_masked-AE016819-processed-gene-6.74-mRNA-1_1 gene=augustus_masked-AE016819-processed-gene-6.74 CDS=1-753	gene=augustus_masked-AE016819-processed-gene-6.74 CDS=1-753	Eremothecium_gossypii
2	Eremothecium_gossypii@Seq_3	40_2	OG3021	Saccharomyces_cerevisiae@YCR034W	snap_masked-AE016819-processed-gene-15.22-mRNA-1_1 gene=snap_masked-AE016819-processed-gene-15.22 CDS=1-1053	gene=snap_masked-AE016819-processed-gene-15.22 CDS=1-1053	Eremothecium_gossypii
3	Eremothecium_gossypii@Seq_4	40_3	OG37656	Eremothecium_cymbalariae@Seq_3857	augustus_masked-AE016819-processed-gene-5.83-mRNA-1_1 gene=augustus_masked-AE016819-processed-gene-5.83 CDS=1-1215	gene=augustus_masked-AE016819-processed-gene-5.83 CDS=1-1215	Eremothecium_gossypii
4	Eremothecium_gossypii@Seq_5	40_4	OG4255	Saccharomyces_cerevisiae@YML050W	augustus_masked-AE016819-processed-gene-11.44-mRNA-1_1 gene=augustus_masked-AE016819-processed-gene-11.44 CDS=1-939	gene=augustus_masked-AE016819-processed-gene-11.44 CDS=1-939	Eremothecium_gossypii
5	Eremothecium_gossypii@Seq_6	40_5	OG4729	Ashbya_aceri@Seq_3604	snap_masked-AE016818-processed-gene-5.76-mRNA-1_1 gene=snap_masked-AE016818-processed-gene-5.76 CDS=1-1236	gene=snap_masked-AE016818-processed-gene-5.76 CDS=1-1236	Eremothecium_gossypii
6	Eremothecium_gossypii@Seq_7	40_6	OG3693	Saccharomyces_cerevisiae@YMR091C	genemark-AE016815-processed-gene-3.116-mRNA-1_1 gene=genemark-AE016815-processed-gene-3.116 CDS=1-1431	gene=genemark-AE016815-processed-gene-3.116 CDS=1-1431	Eremothecium_gossypii
7	Eremothecium_gossypii@Seq_8	40_7	OG3260	Saccharomyces_cerevisiae@YLR192C	augustus_masked-AE016816-processed-gene-7.128-mRNA-1_1 gene=augustus_masked-AE016816-processed-gene-7.128 CDS=1-804	gene=augustus_masked-AE016816-processed-gene-7.128 CDS=1-804	Eremothecium_gossypii
8	Eremothecium_gossypii@Seq_9	40_8	OG3943	Saccharomyces_cerevisiae@YBR122C	augustus_masked-AE016817-processed-gene-0.111-mRNA-1_1 gene=augustus_masked-AE016817-processed-gene-0.111 CDS=1-516	gene=augustus_masked-AE016817-processed-gene-0.111 CDS=1-516	Eremothecium_gossypii
9	Eremothecium_gossypii@Seq_10	40_9	OG7660	Lachancea_waltii@Seq_3294	augustus_masked-AE016818-processed-gene-2.134-mRNA-1_1 gene=augustus_masked-AE016818-processed-gene-2.134 CDS=1-2928	gene=augustus_masked-AE016818-processed-gene-2.134 CDS=1-2928	Eremothecium_gossypii
10	Eremothecium_gossypii@Seq_11	40_10	OG1990	Saccharomyces_cerevisiae@YPR189W	augustus_masked-AE016818-processed-gene-1.41-mRNA-1_1 gene=augustus_masked-AE016818-processed-gene-1.41 CDS=1-4170	gene=augustus_masked-AE016818-processed-gene-1.41 CDS=1-4170	Eremothecium_gossypii
11	Eremothecium_gossypii@Seq_12	40_11	OG1341	Saccharomyces_cerevisiae@YLR092W	snap_masked-AE016820-processed-gene-12.78-mRNA-1_1 gene=snap_masked-AE016820-processed-gene-12.78 CDS=1-2544	gene=snap_masked-AE016820-processed-gene-12.78 CDS=1-2544	Eremothecium_gossypii
12	Eremothecium_gossypii@Seq_13	40_12	OG1203	Saccharomyces_cerevisiae@YNL101W	genemark-AE016816-processed-gene-4.139-mRNA-1_1 gene=genemark-AE016816-processed-gene-4.139 CDS=1-1650	gene=genemark-AE016816-processed-gene-4.139 CDS=1-1650	Eremothecium_gossypii
13	Eremothecium_gossypii@Seq_14	40_13	OG2883	Saccharomyces_cerevisiae@YMR078C	augustus_masked-AE016815-processed-gene-4.154-mRNA-1_1 gene=augustus_masked-AE016815-processed-gene-4.154 CDS=1-2190	gene=augustus_masked-AE016815-processed-gene-4.154 CDS=1-2190	Eremothecium_gossypii
14	Eremothecium_gossypii@Seq_15	40_14	OG6383	Saccharomyces_cerevisiae@YIL101C	snap_masked-AE016817-processed-gene-3.97-mRNA-1_1 gene=snap_masked-AE016817-processed-gene-3.97 CDS=1-1728	gene=snap_masked-AE016817-processed-gene-3.97 CDS=1-1728	Eremothecium_gossypii
15	Eremothecium_gossypii@Seq_16	40_15	OG1861	Saccharomyces_cerevisiae@YNL287W	augustus_masked-AE016818-processed-gene-2.124-mRNA-1_1 gene=augustus_masked-AE016818-processed-gene-2.124 CDS=1-2796	gene=augustus_masked-AE016818-processed-gene-2.124 CDS=1-2796	Eremothecium_gossypii
16	Eremothecium_gossypii@Seq_17	40_16	OG3559	Saccharomyces_cerevisiae@YLR090W	augustus_masked-AE016820-processed-gene-12.64-mRNA-1_1 gene=augustus_masked-AE016820-processed-gene-12.64 CDS=1-1281	gene=augustus_masked-AE016820-processed-gene-12.64 CDS=1-1281	Eremothecium_gossypii
17	Eremothecium_gossypii@Seq_18	40_17	OG4413	Saccharomyces_cerevisiae@YMR173W	augustus_masked-AE016814-processed-gene-0.19-mRNA-1_1 gene=augustus_masked-AE016814-processed-gene-0.19 CDS=1-630	gene=augustus_masked-AE016814-processed-gene-0.19 CDS=1-630	Eremothecium_gossypii
18	Eremothecium_gossypii@Seq_19	40_18	OG2408	Saccharomyces_cerevisiae@YGR221C	augustus_masked-AE016817-processed-gene-4.87-mRNA-1_1 gene=augustus_masked-AE016817-processed-gene-4.87 CDS=1-801	gene=augustus_masked-AE016817-processed-gene-4.87 CDS=1-801	Eremothecium_gossypii
19	Eremothecium_gossypii@Seq_20	40_19	OG6929	Saccharomyces_cerevisiae@YJR053W	augustus_masked-AE016816-processed-gene-1.56-mRNA-1_1 gene=augustus_masked-AE016816-processed-gene-1.56 CDS=1-1419	gene=augustus_masked-AE016816-processed-gene-1.56 CDS=1-1419	Eremothecium_gossypii
20	Eremothecium_gossypii@Seq_21	40_20	OG2838	Saccharomyces_cerevisiae@YPL209C	augustus_masked-AE016819-processed-gene-2.36-mRNA-1_1 gene=augustus_masked-AE016819-processed-gene-2.36 CDS=1-1101	gene=augustus_masked-AE016819-processed-gene-2.36 CDS=1-1101	Eremothecium_gossypii
21	Eremothecium_gossypii@Seq_22	40_21	OG3235	Saccharomyces_cerevisiae@YLR006C	augustus_masked-AE016817-processed-gene-13.219-mRNA-1_1 gene=augustus_masked-AE016817-processed-gene-13.219 CDS=1-2139	gene=augustus_masked-AE016817-processed-gene-13.219 CDS=1-2139	Eremothecium_gossypii
22	Eremothecium_gossypii@Seq_23	40_22	OG1026	Saccharomyces_cerevisiae@YPL226W	augustus_masked-AE016819-processed-gene-2.0-mRNA-1_1 gene=augustus_masked-AE016819-processed-gene-2.0 CDS=1-3570	gene=augustus_masked-AE016819-processed-gene-2.0 CDS=1-3570	Eremothecium_gossypii
23	Eremothecium_gossypii@Seq_24	40_23	OG2831	Saccharomyces_cerevisiae@YDR432W	genemark-AE016817-processed-gene-10.39-mRNA-1_1 gene=genemark-AE016817-processed-gene-10.39 CDS=1-960	gene=genemark-AE016817-processed-gene-10.39 CDS=1-960	Eremothecium_gossypii
