	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHAB147_Kazachstania_taianensis@Seq_1	150_0	OG2000	Saccharomyces_cerevisiae@YGL194C	augustus_masked-NODE_34_length_125862_cov_52.3629_ID_67-processed-gene-0.54-mRNA-1_1 gene=augustus_masked-NODE_34_length_125862_cov_52.3629_ID_67-processed-gene-0.54 CDS=1-1359	gene=augustus_masked-NODE_34_length_125862_cov_52.3629_ID_67-processed-gene-0.54 CDS=1-1359	yHAB147_Kazachstania_taianensis
1	yHAB147_Kazachstania_taianensis@Seq_2	150_1	OG1826	Saccharomyces_cerevisiae@YGR098C	augustus_masked-NODE_35_length_125469_cov_53.12_ID_69-processed-gene-0.121-mRNA-1_1 gene=augustus_masked-NODE_35_length_125469_cov_53.12_ID_69-processed-gene-0.121 CDS=1-4107	gene=augustus_masked-NODE_35_length_125469_cov_53.12_ID_69-processed-gene-0.121 CDS=1-4107	yHAB147_Kazachstania_taianensis
2	yHAB147_Kazachstania_taianensis@Seq_3	150_2	OG1675	Saccharomyces_cerevisiae@YPR145W	augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.91-mRNA-1_1 gene=augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.91 CDS=1-1722	gene=augustus_masked-NODE_10_length_328113_cov_49.6167_ID_19-processed-gene-0.91 CDS=1-1722	yHAB147_Kazachstania_taianensis
3	yHAB147_Kazachstania_taianensis@Seq_4	150_3	OG6534	Saccharomyces_cerevisiae@YJL147C	snap_masked-NODE_2_length_509446_cov_49.8933_ID_3-processed-gene-1.61-mRNA-1_1 gene=snap_masked-NODE_2_length_509446_cov_49.8933_ID_3-processed-gene-1.61 CDS=1-1131	gene=snap_masked-NODE_2_length_509446_cov_49.8933_ID_3-processed-gene-1.61 CDS=1-1131	yHAB147_Kazachstania_taianensis
4	yHAB147_Kazachstania_taianensis@Seq_5	150_4	OG15184	yHAB159_Kazachstania_solicola@Seq_271	augustus_masked-NODE_73_length_49320_cov_49.2872_ID_145-processed-gene-0.12-mRNA-1_1 gene=augustus_masked-NODE_73_length_49320_cov_49.2872_ID_145-processed-gene-0.12 CDS=1-192	gene=augustus_masked-NODE_73_length_49320_cov_49.2872_ID_145-processed-gene-0.12 CDS=1-192	yHAB147_Kazachstania_taianensis
5	yHAB147_Kazachstania_taianensis@Seq_6	150_5	OG6997	Saccharomyces_cerevisiae@YDR303C	snap_masked-NODE_61_length_72959_cov_49.3036_ID_121-processed-gene-0.51-mRNA-1_1 gene=snap_masked-NODE_61_length_72959_cov_49.3036_ID_121-processed-gene-0.51 CDS=1-2568	gene=snap_masked-NODE_61_length_72959_cov_49.3036_ID_121-processed-gene-0.51 CDS=1-2568	yHAB147_Kazachstania_taianensis
6	yHAB147_Kazachstania_taianensis@Seq_7	150_6	OG1633	Saccharomyces_cerevisiae@YDR012W	augustus_masked-NODE_47_length_84853_cov_50.2477_ID_93-processed-gene-0.5-mRNA-1_1 gene=augustus_masked-NODE_47_length_84853_cov_50.2477_ID_93-processed-gene-0.5 CDS=1-1086	gene=augustus_masked-NODE_47_length_84853_cov_50.2477_ID_93-processed-gene-0.5 CDS=1-1086	yHAB147_Kazachstania_taianensis
7	yHAB147_Kazachstania_taianensis@Seq_8	150_7	OG210620	yHAB147_Kazachstania_taianensis@Seq_8	augustus_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-0.86-mRNA-1_1 gene=augustus_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-0.86 CDS=1-4101	gene=augustus_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-0.86 CDS=1-4101	yHAB147_Kazachstania_taianensis
8	yHAB147_Kazachstania_taianensis@Seq_9	150_8	OG2593	Saccharomyces_cerevisiae@YJL168C	augustus_masked-NODE_21_length_190094_cov_51.4208_ID_41-processed-gene-0.163-mRNA-1_1 gene=augustus_masked-NODE_21_length_190094_cov_51.4208_ID_41-processed-gene-0.163 CDS=1-2106	gene=augustus_masked-NODE_21_length_190094_cov_51.4208_ID_41-processed-gene-0.163 CDS=1-2106	yHAB147_Kazachstania_taianensis
9	yHAB147_Kazachstania_taianensis@Seq_10	150_9	OG1140	Saccharomyces_cerevisiae@YOL120C	augustus_masked-NODE_42_length_99769_cov_49.1976_ID_83-processed-gene-0.135-mRNA-1_1 gene=augustus_masked-NODE_42_length_99769_cov_49.1976_ID_83-processed-gene-0.135 CDS=1-969	gene=augustus_masked-NODE_42_length_99769_cov_49.1976_ID_83-processed-gene-0.135 CDS=1-969	yHAB147_Kazachstania_taianensis
