	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	yHMPu5000034890_Ogataea_ramenticola@Seq_1	229_0	OG2999	Saccharomyces_cerevisiae@YGL065C	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.79-mRNA-1_1 gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.79 CDS=1-1362	gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.79 CDS=1-1362	yHMPu5000034890_Ogataea_ramenticola
1	yHMPu5000034890_Ogataea_ramenticola@Seq_2	229_1	OG2360	Saccharomyces_cerevisiae@YMR285C	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.208-mRNA-1_1 gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.208 CDS=1-1506	gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.208 CDS=1-1506	yHMPu5000034890_Ogataea_ramenticola
2	yHMPu5000034890_Ogataea_ramenticola@Seq_3	229_2	OG5567	Meyerozyma_guilliermondii@Seq_312	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.153-mRNA-1_1 gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.153 CDS=1-3840	gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.153 CDS=1-3840	yHMPu5000034890_Ogataea_ramenticola
3	yHMPu5000034890_Ogataea_ramenticola@Seq_4	229_3	OG3900	Saccharomyces_cerevisiae@YGL142C	genemark-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.149-mRNA-1_1 gene=genemark-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.149 CDS=1-1656	gene=genemark-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.149 CDS=1-1656	yHMPu5000034890_Ogataea_ramenticola
4	yHMPu5000034890_Ogataea_ramenticola@Seq_5	229_4	OG10034	yHMPu5000034890_Ogataea_ramenticola@Seq_5	augustus_masked-NODE_524_length_212_cov_245.883_ID_1047-processed-gene-0.0-mRNA-1_1 gene=augustus_masked-NODE_524_length_212_cov_245.883_ID_1047-processed-gene-0.0 CDS=1-210	gene=augustus_masked-NODE_524_length_212_cov_245.883_ID_1047-processed-gene-0.0 CDS=1-210	yHMPu5000034890_Ogataea_ramenticola
5	yHMPu5000034890_Ogataea_ramenticola@Seq_6	229_5	OG2844	Saccharomyces_cerevisiae@YKL082C	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-0.12-mRNA-1_1 gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-0.12 CDS=1-1326	gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-0.12 CDS=1-1326	yHMPu5000034890_Ogataea_ramenticola
6	yHMPu5000034890_Ogataea_ramenticola@Seq_7	229_6	OG222022	yHMPu5000034890_Ogataea_ramenticola@Seq_7	snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.86-mRNA-1_1 gene=snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.86 CDS=1-327	gene=snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.86 CDS=1-327	yHMPu5000034890_Ogataea_ramenticola
7	yHMPu5000034890_Ogataea_ramenticola@Seq_8	229_7	OG3051	Saccharomyces_cerevisiae@YOL133W	augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.107-mRNA-1_1 gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.107 CDS=1-339	gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.107 CDS=1-339	yHMPu5000034890_Ogataea_ramenticola
8	yHMPu5000034890_Ogataea_ramenticola@Seq_9	229_8	OG2443	Saccharomyces_cerevisiae@YJR072C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.86-mRNA-1_1 gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.86 CDS=1-1179	gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.86 CDS=1-1179	yHMPu5000034890_Ogataea_ramenticola
9	yHMPu5000034890_Ogataea_ramenticola@Seq_10	229_9	OG7230	yHMPu5000035301_Pichia_terricola@Seq_2452	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-2.37-mRNA-1_1 gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-2.37 CDS=1-1626	gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-2.37 CDS=1-1626	yHMPu5000034890_Ogataea_ramenticola
10	yHMPu5000034890_Ogataea_ramenticola@Seq_11	229_10	OG10034	yHMPu5000034890_Ogataea_ramenticola@Seq_5	augustus_masked-NODE_125_length_671_cov_287.884_ID_249-processed-gene-0.2-mRNA-1_1 gene=augustus_masked-NODE_125_length_671_cov_287.884_ID_249-processed-gene-0.2 CDS=1-666	gene=augustus_masked-NODE_125_length_671_cov_287.884_ID_249-processed-gene-0.2 CDS=1-666	yHMPu5000034890_Ogataea_ramenticola
11	yHMPu5000034890_Ogataea_ramenticola@Seq_12	229_11	OG1444	Saccharomyces_cerevisiae@YPR165W	augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.119-mRNA-1_1 gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.119 CDS=1-2412	gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.119 CDS=1-2412	yHMPu5000034890_Ogataea_ramenticola
