	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035335_Candida_blattae
0	OG0000000	YAL063C, YAL064C-A, YAL065C, YAR050W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-6.75&CDS=1-6243, snap_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-3.96-mRNA-1_1&gene=snap_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-3.96&CDS=1-4794
1	OG0000001	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.141&CDS=1-1716, augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.171-mRNA-1_1&gene=augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-3.171&CDS=1-1755, augustus_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-2.93&CDS=1-1734, augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.137&CDS=1-1746, augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-3.146&CDS=1-1680, augustus_masked-NODE_27_length_83475_cov_26.1018_ID_3755-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_27_length_83475_cov_26.1018_ID_3755-processed-gene-0.53&CDS=1-1740, augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-0.16&CDS=1-1803, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-2.73&CDS=1-1725
2	OG0000002	YKR064W, YLR256W	augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-1.72&CDS=1-2781, augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-5.7&CDS=1-2547, augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-5.8&CDS=1-3294, augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-1.80&CDS=1-4326, augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-5.1&CDS=1-2535, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-1.48&CDS=1-3129, genemark-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-6.86-mRNA-1_1&gene=genemark-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-6.86&CDS=1-2463, genemark-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-1.86&CDS=1-3552, snap_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-0.42&CDS=1-2751, snap_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.103&CDS=1-2250
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_32_length_23730_cov_64.6301_ID_4223-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_32_length_23730_cov_64.6301_ID_4223-processed-gene-0.22&CDS=1-1692, augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-1.94&CDS=1-1698, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-5.89&CDS=1-1695
4	OG0000004	YGR260W, YPR147C	augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_15_length_350024_cov_36.6439_ID_2747-processed-gene-2.139&CDS=1-2442, augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-NODE_16_length_337202_cov_27.1157_ID_2786-processed-gene-2.154&CDS=1-1518, augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-0.58&CDS=1-1497, augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.148&CDS=1-1449, augustus_masked-NODE_26_length_83728_cov_40.3846_ID_3769-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_26_length_83728_cov_40.3846_ID_3769-processed-gene-0.87&CDS=1-1548, augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-2.73&CDS=1-1527, augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_9_length_485867_cov_26.3769_ID_2296-processed-gene-2.78&CDS=1-1524, snap_masked-NODE_30_length_41159_cov_98.1817_ID_4145-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_30_length_41159_cov_98.1817_ID_4145-processed-gene-0.17&CDS=1-1464
5	OG0000005	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_17_length_271379_cov_43.2709_ID_2853-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_17_length_271379_cov_43.2709_ID_2853-processed-gene-1.77&CDS=1-2103, augustus_masked-NODE_26_length_83728_cov_40.3846_ID_3769-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_26_length_83728_cov_40.3846_ID_3769-processed-gene-0.48&CDS=1-4218, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-3.81&CDS=1-2235, maker-NODE_1_length_1351318_cov_29.0491_ID_2023-snap-gene-2.2-mRNA-1_1&gene=maker-NODE_1_length_1351318_cov_29.0491_ID_2023-snap-gene-2.2&CDS=1-4149
6	OG0000006	YDR242W	augustus_masked-NODE_12_length_454146_cov_27.2292_ID_2576-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NODE_12_length_454146_cov_27.2292_ID_2576-processed-gene-3.135&CDS=1-1713, augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.13&CDS=1-1626, augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-0.29&CDS=1-1614, augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_13_length_453517_cov_27.615_ID_2499-processed-gene-2.94&CDS=1-1671, augustus_masked-NODE_37_length_10581_cov_101.115_ID_4343-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_37_length_10581_cov_101.115_ID_4343-processed-gene-0.2&CDS=1-1650, augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_4_length_726266_cov_33.6337_ID_2327-processed-gene-2.68&CDS=1-1635, augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NODE_8_length_611220_cov_33.3382_ID_3073-processed-gene-5.114&CDS=1-1638
7	OG0000007	YJR061W, YKL201C	augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_10_length_474837_cov_29.3071_ID_2645-processed-gene-0.44&CDS=1-2292, augustus_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-NODE_11_length_474763_cov_25.8552_ID_2814-processed-gene-3.76&CDS=1-2526, augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-2.28&CDS=1-2157, augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-4.20&CDS=1-2496, augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-7.131&CDS=1-2253, snap_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NODE_6_length_640593_cov_32.5732_ID_2678-processed-gene-4.98&CDS=1-1809
8	OG0000008	YBL068W, YER099C, YHL011C, YOL061W	augustus_masked-NODE_14_length_397710_cov_34.1435_ID_3013-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-NODE_14_length_397710_cov_34.1435_ID_3013-processed-gene-2.127&CDS=1-960, augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-12.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_1351318_cov_29.0491_ID_2023-processed-gene-12.110&CDS=1-969, augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_7_length_612663_cov_27.8656_ID_2531-processed-gene-0.56&CDS=1-2403
9	OG0000009	YDR338C, YHR032W	augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NODE_19_length_208729_cov_44.5132_ID_3335-processed-gene-1.139&CDS=1-1431, augustus_masked-NODE_20_length_196270_cov_28.7591_ID_3288-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_20_length_196270_cov_28.7591_ID_3288-processed-gene-0.40&CDS=1-1809, augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-0.8&CDS=1-1458, augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NODE_3_length_893695_cov_26.8378_ID_8204-processed-gene-6.19&CDS=1-1722, snap_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-5.76-mRNA-1_1&gene=snap_masked-NODE_2_length_909348_cov_30.7933_ID_2051-processed-gene-5.76&CDS=1-1740
